codigo,sec,municipality,cel_0_nnn,cel_1_nsn,cel_2_nss,cel_3_nss,cel_4_snn,cel_5_ssnc,cel_6_sssc,cel_7_sss,crit_orig_5a7,crit_orig_4a7,crit_orig_2a7,pueblos_orig,observaciones,department,province
010101,Cp,Sucre,21.1,8.4,4.9,1.1,20.6,14.8,20.4,8.8,44,64.6,70.6,Q,gran contraste con área rural,Chuquisaca,Oropeza
010102,1,Yotala,1.4,1.2,2.6,1.9,5.8,7.9,42.9,36.2,87,92.8,97.3,Q,NA,Chuquisaca,Oropeza
010103,2,Poroma,0.1,0.2,0.8,2.1,0.5,0.7,26.9,68.7,96.3,96.8,99.7,Q,NA,Chuquisaca,Oropeza
010201,1,Azurduy,29.1,2.6,1.4,3.6,15.2,3.1,7.4,37.7,48.2,63.4,68.4,Q,en frontera étnica-ling,Chuquisaca,Azurduy
010202,2,Tarvita,1.6,1.1,2.7,6.7,2.6,2.8,21.8,60.7,85.3,87.9,97.3,Q,NA,Chuquisaca,Azurduy
010301,1,Zudañez,0.7,0.8,1.2,0.8,5.3,7.9,37.7,45.7,91.3,96.6,98.6,Q,NA,Chuquisaca,Zudañez
010302,2,Presto,0.3,0.4,0.6,2.5,0.9,2,16.3,76.9,95.2,96.1,99.2,Q,NA,Chuquisaca,Zudañez
010303,3,Mojocoya,0.5,0.5,2.2,1.8,5,5.8,44.8,39.4,90,95,99,Q,NA,Chuquisaca,Zudañez
010304,4,Icla,0.8,0.3,0.9,1.6,1,1.2,30.2,63.9,95.3,96.3,98.8,Q,NA,Chuquisaca,Zudañez
010401,1,Padilla,38.2,3.6,0.7,0,43.3,7.4,4.8,1.9,14.1,57.4,58.1,Q,en frontera étnica-ling,Chuquisaca,Tomina
010402,2,Tomina,2.6,1.4,4.7,5.6,4.1,5.2,33.4,43,81.6,85.7,96,Q,NA,Chuquisaca,Tomina
010403,3,Sopachuy,1.1,0.9,3.2,8.2,6.2,7.9,24.2,48.4,80.5,86.7,98.1,Q,NA,Chuquisaca,Tomina
010404,4,Villa Alcalá,51.8,12.4,3,1,16.6,5.2,6.7,3.4,15.3,31.9,35.9,Q,en frontera étnica-ling,Chuquisaca,Tomina
010405,5,El Villar,31.4,7.1,3.1,0.7,39.4,9.3,6.5,2.5,18.3,57.7,61.5,Q,en frontera étnica-ling,Chuquisaca,Tomina
010501,1,Monteagudo,68,4.4,1.3,0.2,17.9,3,4.2,0.9,8.1,26,27.5,G(Q),en frontera étnica-ling,Chuquisaca,Hernando Siles
010502,2,Huacareta,51.9,3.7,1.7,0.1,16.6,4.8,16,5.2,26,42.6,44.4,G,NA,Chuquisaca,Hernando Siles
010601,1,Tarabuco,0.3,0.5,1.3,3.4,1.4,2.7,24.3,66,93,94.4,99.1,Q,NA,Chuquisaca,Yamparaez
010602,2,Yamparáez,0.2,0.4,1.2,1,1.9,2.2,37.9,55.3,95.4,97.3,99.5,Q,NA,Chuquisaca,Yamparaez
