NOMBRE|CARGO|OPCION O SIGLA|CODIGO GEOGRAFIA|CANDIDATO O GANADORBONNY ALBERTO TITO CARI|ALCALDE (SA)|undefined|undefined|ELECTO
IGNACIO   CHARACAYO   ARIAS |ALCALDE (SA)|undefined|undefined|ELECTO
LUIS ALBERTO ALIPAZ ASCUI|ALCALDE (SA)|undefined|undefined|ELECTO
CRUZ OCTAVIO ARUQUIPA YANA|ALCALDE (SA)|undefined|undefined|ELECTO
JULIAN SASA QUISPE|ALCALDE (SA)|undefined|undefined|ELECTO
BRAULIO GARNICA MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
LUIS PALLI TICONA|ALCALDE (SA)|undefined|undefined|ELECTO
DAVIO RAMIREZ CHOCATA|ALCALDE (SA)|undefined|undefined|ELECTO
GONZALO ALFONSO HURTADO TORO|ALCALDE (SA)|undefined|undefined|ELECTO
SIMAR MARQUEZ SERRANO|ALCALDE (SA)|undefined|undefined|ELECTO
ROLY ROLANDO OÑO AÑEZ|ALCALDE (SA)|undefined|undefined|ELECTO
ANGEL FREDDY MAIMURA REINA|ALCALDE (SA)|undefined|undefined|ELECTO
ESTELA RODRIGUEZ SILES|ALCALDE (SA)|undefined|undefined|ELECTO
ARIEL GALARZA SILVA|ALCALDE (SA)|undefined|undefined|ELECTO
CIMAR RAMIRO RODRIGUEZ NARVAEZ|ALCALDE (SA)|undefined|undefined|ELECTO
BERNARDO   MAMANI   CHOQUE |ALCALDE (SA)|undefined|undefined|ELECTO
WILSON QUIÑONES UGARTE|ALCALDE (SA)|undefined|undefined|ELECTO
PEDRO DAMIAN DORADO LOPEZ|ALCALDE (SA)|undefined|undefined|ELECTO
ALAN    GALVEZ|ALCALDE (SA)|undefined|undefined|ELECTO
DARWIN    VERA |ALCALDE (SA)|undefined|undefined|ELECTO
ERMAS PEREZ VILLALBA|ALCALDE (SA)|undefined|undefined|ELECTO
EDGAR VILLCA CAYO|ALCALDE (SA)|undefined|undefined|ELECTO
AGUSTIN CASAZOLA FERNANDEZ|ALCALDE (SA)|undefined|undefined|ELECTO
ADALID JORGE AGUILAR|ALCALDE (SA)|undefined|undefined|ELECTO
DANIEL AÑEZ CARBALLO|ALCALDE (SA)|undefined|undefined|ELECTO
IRINEO FLORES MARTINEZ|ALCALDE (SA)|undefined|undefined|ELECTO
WILLAMS JOEL GUERRERO QUIROGA|ALCALDE (SA)|undefined|undefined|ELECTO
IDBERTO MAMANI CACHI|ALCALDE (SA)|undefined|undefined|ELECTO
RUBEN WALTER VACA SALAZAR|ALCALDE (SA)|undefined|undefined|ELECTO
SARA ARMELLA RUEDA|ALCALDE (SA)|undefined|undefined|ELECTO
CARLOS EDUARDO BRU CAVERO|ALCALDE (SA)|undefined|undefined|ELECTO
FELIX LAIME YANAGUAYA|ALCALDE (SA)|undefined|undefined|ELECTO
TEODORO QUISPE SARAVIA|ALCALDE (SA)|undefined|undefined|ELECTO
MARCELO FLORES CUMARA|ALCALDE (SA)|undefined|undefined|ELECTO
RAMIRO JULIO PILCO ESCOBAR|ALCALDE (SA)|undefined|undefined|ELECTO
MARIO PACHECO MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
PEDRO DELGADO ARO|ALCALDE (SA)|undefined|undefined|ELECTO
