sigla|nombre|colorRGB
MPS|MPS|null
UN|UN|FFC500
MAS-IPSP|MOVIMIENTO AL SOCIALISMO - INSTRUMENTO POLÍTICO PARA LA SOBERANÍA DE LOS PUEBLOS|0026FF
ADN|ADN|FF0000
DEMOCRATAS|DEMOCRATAS|2E5732
MNR|MNR|F9BAD4
PDC|PDC|FC0000
UCS|UCS|8ED8F8
PP|PP|null
CUMI|CUMI|null
UNE|UNE|null
CAOSAM|CAOSAM|680B01
MACOJMA|MACOJMA|null
SPT|SPT|null
AINI|AINI|null
APC|APC|null
DECIDE|DECIDE|null
FIC|FIC|null
MIM|MIM|74B64D
MYP|MYP|EC8A36
TS|TS|E4332D
VIDA|VIDA|548F94
UVA|UVA|8CFF00
MOP|MOP|BA236D
CAOTM|CAOTM|4A7A2C
CAMPO|CAMPO|167B2F
ARI|ARI|98E5E4
SOL|SOL|F7D726
MT|MT|569F3F
PPS|PPS|FFF012
SAN JUAN XXI|SAN JUAN XXI|E61F45
JESUCA|JESUCA|FE0000
PC|PODER CIUDADANO|null
MSP|MOVIMIENTO SOCIAL AL PODER|null
MTS|MTS|C38D61
MRP|MOVIMIENTO DE RENOVACIÓN POPULAR|null
PU|PUEBLO UNIDO|null
MIDELUR|MIDELUR|01B739
NACER|NACER|FFCC00
ASP|ASP|7EFF9F
TODOS|TODOS|639AB4
AS|AS|009E01
UNICO|UNICO|E26700
TPT|TPT|D1772B
ISA|ISA|269042
SOL.BO|SOL.BO|FEE100
FE|FE|007C3D
GH|GH|E9E339
MATICO|MATICO|EDE611
VOCES|VOCES|D99300
ASIP|ASIP|0096B1
SUMA|SUMA|006433
UNPA|UNPA|CE8828
SOMHOS|SOMHOS|007B3A
C 2000|C 2000|FBF138
CTC|CTC|0D6E39
MCP-NG|MCP-NG|0A4068
INCA-FS|INCA-FS|BA1135
T-INTI|T-INTI|77BD3D
AHORA!|AHORA!|E5185D
A.A.O.Q|A.A.O.Q|null
CPEM-B|CENTRAL DE PUEBLOS ÉTNICOS MOJEÑOS DEL BENI|BED6EE
CREEMOS|CREEMOS|91268E
PAN-BOL|PAN-BOL|E51E2A
V|V|null
MDA|MDA|null
UNEBENI|UNEBENI|FD0000
CAMBIEMOS|CAMBIEMOS|E3AD31
C-A|C-A|EA753B
BSTH|BSTH|633B1D
UNIDOS|UNIDOS|96C11E
SOMOS|SOMOS|62C8F2
UNIDOS.CBBA|UNIDOS.CBBA|FFE000
SUMATE|SUMATE|702C91
PBCSP|PBCSP|EEEEEE
J.A. LLALLA.L.P.|J.A. LLALLA.L.P.|E30613
FPV|FPV|1C6749
UNIDOS POR TARIJA|UNIDOS POR TARIJA|F39200
UN SOL PARA ORURO|UN SOL PARA ORURO|C7191B
T.P.C.|T.P.C.|null
UNIR.BO|UNIR.BO|null
TCA|TCA|null
L.E.A.L|L.E.A.L|null
C.G.J.A.P.|C.G.J.A.P.|null
CZM-APG|CZM-APG|null
JAY|JAY|null
SCB|SCB|null
CAOCH|CAOCH|null
MCP|MCP|null
TPP|TPP|null
PSR|PSR|null
P.S.T.|P.S.T.|FF0000
CID|CID|E56534
CST|CST|FCBD5A
R-2025|R-2025|952D31
CONACH-W|CONACH-W|F80809
ML(MARKANAKAS LAYKU)|ML(MARKANAKAS LAYKU)|7C2C21
MI ARBOL|MI ARBOL|7A5DA4
PARCA|PARCA|51B5E0
NEGROS|NEGROS|FF7720
CICOTI|CICOTI|FFFF00
M.I.A.S.U.N.T.A.|M.I.A.S.U.N.T.A.|E1A000
S.A.M.|S.A.M.|57B0D8
BASTA|BASTA|7E3F91
T.P.R.|T.P.R.|1D5924
UNIR-VILLA VACA GUZMAN|UNIR-VILLA VACA GUZMAN|00863D
COMUNIDAD DE TODOS|COMUNIDAD DE TODOS|EF7818
ADEPCOCA|ADEPCOCA|E30613
APU|APU|009FE3
VPT|VPT|E11F26
UPC|UNIDAD Y PROGRESO COMUNITARIO|003AD4
PUKA SUNQU|PUKA SUNQU|D02419
PASO|PASO|005D34
PACHO|PACHO|DD172A
NED|NED|073213
MK-PC|MK-PC|FFA600
MAYA C|MAYA COPACABANA|E1ED00
BST|BST|693F01
