ine_code,muni_name,department,qid,file,category,outcome
080602,San Andrés,Beni,Q1535931,"Flag of San Andrés, Bolivia.svg",Flags of municipalities of Bolivia,added
080102,San Javier,Beni,Q256171,"Flag of San Javier, Cercado, Bolivia.svg",Flags of municipalities of Bolivia,added
010502,Huacareta,Chuquisaca,Q1142195,"Flag of Huacareta, Bolivia.svg",Flags of municipalities of Bolivia,added
011002,Huacaya,Chuquisaca,Q1141996,"Flag of Huacaya, Bolivia.svg",Flags of municipalities of Bolivia,added
010202,Tarvita,Chuquisaca,Q1142233,"Flag of Tarvita, Bolivia.svg",Flags of municipalities of Bolivia,added
011001,Villa Vaca Guzmán,Chuquisaca,Q121543,Flag of Villa Vaca Guzmán.svg,Flags of municipalities of Bolivia,added
030403,Arbieto,Cochabamba,Q1516960,"Flag of Arbieto, Bolivia.svg",Flags of municipalities of Bolivia,added
031501,Bolívar,Cochabamba,Q1952875,"Flag of Bolívar, Bolivia.svg",Flags of municipalities of Bolivia,added
031204,Chimoré,Cochabamba,Q1521093,"Flag of Chimoré, Bolivia.svg",Flags of municipalities of Bolivia,added
030303,Cocapata,Cochabamba,Q1147245,"Flag of Cocapata, Bolivia.svg",Flags of municipalities of Bolivia,added
031405,Cuchumuela,Cochabamba,Q1521224,"Flag of Cuchumuela, Bolivia.svg",Flags of municipalities of Bolivia,added
031206,Entre Ríos,Cochabamba,Q636059,"Flag of Entre Ríos, Cochabamba Department, Bolivia.svg",Flags of municipalities of Bolivia,added
031301,Mizque,Cochabamba,Q1521176,"Flag of Mizque, Bolivia.svg",Flags of municipalities of Bolivia,added
030203,Omereque,Cochabamba,Q1521168,"Flag of Omereque, Bolivia.svg",Flags of municipalities of Bolivia,added
030202,Pasorapa,Cochabamba,Q1497559,"Flag of Pasorapa, Bolivia.svg",Flags of municipalities of Bolivia,added
031203,Pocona,Cochabamba,Q1521138,"Flag of Pocona, Bolivia.svg",Flags of municipalities of Bolivia,added
031202,Pojo,Cochabamba,Q1516972,Flag of Pojo.svg,Flags of municipalities of Bolivia,added
031205,Puerto Villarroel,Cochabamba,Q1521128,"Flag of Puerto Villarroel, Bolivia.svg",Flags of municipalities of Bolivia,added
030404,Sacabamba,Cochabamba,Q547615,"Flag of Sacabamba, Bolivia.svg",Flags of municipalities of Bolivia,added
031403,San Benito,Cochabamba,Q1521209,"Flag of San Benito, Bolivia.svg",Flags of municipalities of Bolivia,added
030702,Santiváñez,Cochabamba,Q939128,"Flag of Santiváñez, Bolivia.svg",Flags of municipalities of Bolivia,added
030703,Sicaya,Cochabamba,Q1521111,"Flag of Sicaya, Bolivia.svg",Flags of municipalities of Bolivia,added
030401,Tarata,Cochabamba,Q659801,"Flag of Tarata, Bolivia.svg",Flags of municipalities of Bolivia,added
030802,Toco,Cochabamba,Q1272109,"Flag of Toco, Bolivia.svg",Flags of municipalities of Bolivia,added
030803,Tolata,Cochabamba,Q1816574,"Flag of Tolata, Bolivia.svg",Flags of municipalities of Bolivia,added
030502,Vacas,Cochabamba,Q1817895,"Flag of Vacas, Bolivia.svg",Flags of municipalities of Bolivia,added
031302,Vila Vila,Cochabamba,Q1814595,"Flag of Vila Vila, Bolivia.svg",Flags of municipalities of Bolivia,added
020201,Achacachi,La Paz,Q1819965,"Flag of Achacachi, Bolivia.svg",Flags of municipalities of Bolivia,added
022002,Alto Beni,La Paz,Q1952850,"Flag of Alto Beni, Bolivia.svg",Flags of municipalities of Bolivia,added
020905,Cairoma,La Paz,Q1552096,"Flag of Cairoma, Bolivia.svg",Flags of municipalities of Bolivia,added
021003,Cajuata,La Paz,Q1544600,"Flag of Cajuata, Bolivia.svg",Flags of municipalities of Bolivia,added
021601,Charazani,La Paz,Q1544495,"Flag of Charazani, Bolivia.svg",Flags of municipalities of Bolivia,added
020305,Charaña,La Paz,Q428293,"Flag of Charaña, Bolivia.svg",Flags of municipalities of Bolivia,added
020203,Chua Cocani,La Paz,Q1952923,"Flag of Chua Cocani, Bolivia.svg",Flags of municipalities of Bolivia,added
