Facility Name,Location,Management
Camp East Montana,"El Paso, TX",Acquisition Logistics LLC
Golden State Annex,"McFarland, CA",GEO Group
Imperial Regional Detention Facility,"Calexico, CA",Management & Training Corp (MTC)
Bent County Correctional Facility,"Las Animas, CO",CoreCivic
Boston Avenue,"San Diego, CA",CoreCivic
California City Immigration Processing Center,"California City, CA",CoreCivic
Centennial Community Transition Center,"Englewood, CO",CoreCivic
Central Arizona Florence Correctional Complex,"Florence, AZ",CoreCivic
Cheyenne Transitional Center,"Cheyenne, WY",CoreCivic
Cibola County Correctional Center,"Milan, NM",CoreCivic
Cimarron Facility,"Cushing, OK",CoreCivic
Citrus County Detention Facility,"Lecanto, FL",CoreCivic
Coffee Correctional Facility,"Nicholls, GA",CoreCivic
Commerce Transitional Center,"Commerce City, CO",CoreCivic
Corpus Christi Transitional Center,"Corpus Christi, TX",CoreCivic
Crossroads Correctional Center,"Shelby, MT",CoreCivic
Crowley County Correctional Facility,"Olney Springs, CO",CoreCivic
Dallas Transitional Center,"Dallas, TX",CoreCivic
Diamondback Correctional Facility,"Watonga, OK",CoreCivic
Dilley Immigration Processing Center,"Dilley, TX",CoreCivic
Eden Detention Center,"Eden, TX",CoreCivic
El Paso Multi-Use Facility,"El Paso, TX",CoreCivic
El Paso Transitional Center,"El Paso, TX",CoreCivic
Elizabeth Detention Center,"Elizabeth, NJ",CoreCivic
Eloy Detention Center,"Eloy, AZ",CoreCivic
Farmville Detention Center,"Farmville, VA",CoreCivic
Fort Worth Transitional Center,"Fort Worth, TX",CoreCivic
Ghent Residential Reentry Center,"Norfolk, VA",CoreCivic
Hardeman County Correctional Facility,"Whiteville, TN",CoreCivic
Houston Contract Detention Facility,"Houston, TX",CoreCivic
Houston Processing Center,"Houston, TX",CoreCivic
Huerfano County Correctional Center,"Walsenburg, CO",CoreCivic
James River Residential Reentry Center,"Newport News, VA",CoreCivic
Jenkins Correctional Center,"Millen, GA",CoreCivic
Kit Carson Correctional Center,"Burlington, CO",CoreCivic
La Palma Correctional Center,"Eloy, AZ",CoreCivic
Lake City Correctional Facility,"Lake City, FL",CoreCivic
Lake Erie Correctional Institution,"Conneaut, OH",CoreCivic
Laredo Processing Center,"Laredo, TX",CoreCivic
Lee Adjustment Center,"Beattyville, KY",CoreCivic
Leo Chesney Correctional Facility,"Live Oak, CA",CoreCivic
Longmont Community Treatment Center,"Longmont, CO",CoreCivic
Marion Adjustment Center,"St. Mary, KY",CoreCivic
Midwest Regional Reception Center,"Leavenworth, KS",CoreCivic
Nevada Southern Detention Center,"Pahrump, NV",CoreCivic
North Fork Correctional Facility,"Sayre, OK",CoreCivic
Northeast Ohio Correctional Center,"Youngstown, OH",CoreCivic
Northwest New Mexico Correctional Center,"Grants, NM",CoreCivic
Ocean View,"San Diego, CA",CoreCivic
Otay Mesa Detention Center,"San Diego, CA",CoreCivic
Prairie Correctional Facility,"Appleton, MN",CoreCivic
Red Rock Correctional Center,"Eloy, AZ",CoreCivic
Saguaro Correctional Center,"Eloy, AZ",CoreCivic
South Central Correctional Center,"Clifton, TN",CoreCivic
South Raleigh Reentry Center,"Raleigh, NC",CoreCivic
Southeast Kentucky Correctional Center,"Wheelwright, KY",CoreCivic
Stewart Detention Center,"Lumpkin, GA",CoreCivic
T. Don Hutto Detention Center,"Taylor, TX",CoreCivic
Tallahatchie County Correctional Facility,"Tutwiler, MS",CoreCivic
Torrance County Detention Facility,"Estancia, NM",CoreCivic
Trousdale Turner Correctional Center,"Hartsville, TN",CoreCivic
Turley Residential Center,"Tulsa, OK",CoreCivic
Webb County Detention Facility,"Laredo, TX",CoreCivic
West Tennessee Detention Facility,"Mason, TN",CoreCivic
Wheeler Correctional Facility,"Alamo, GA",CoreCivic
Whiteville Correctional Facility,"Whiteville, TN",CoreCivic
Adelanto ICE Processing Center,"Adelanto, CA",GEO Group
Alexandria Staging Facility,"Alexandria, LA",GEO Group
Aurora ICE Processing Center,"Aurora, CO",GEO Group
Blackwater River Correctional and Rehabilitation Facility,"Milton, FL",GEO Group
Broward Transitional Center,"Deerfield Beach, FL",GEO Group
