"Codigo","department","municipality","com_name","id_unico","match_status","n_geo","canton_split_group"
"01010101001","Chuquisaca","Sucre","SUCRE","4175362836-D","unique",1,NA
"01010101024","Chuquisaca","Sucre","KORA KORA","4159018501-D","unique",1,NA
"01010101025","Chuquisaca","Sucre","LA PALMA","4249007498-D","unique",1,NA
"01010103001","Chuquisaca","Sucre","CARAVIRI","4173153694-D","unique",1,NA
"01010103002","Chuquisaca","Sucre","CHULLPAS","4138740980-D","unique",1,NA
"01010103003","Chuquisaca","Sucre","JANAC KUCHU","4149985484-D","unique",1,NA
"01010103005","Chuquisaca","Sucre","POTOLO","4155469938-D","unique",1,NA
"01010103006","Chuquisaca","Sucre","SACOPAYA","4163566640-D","unique",1,NA
"01010103007","Chuquisaca","Sucre","SAYACA","4133147863-D","unique",1,NA
"01010103010","Chuquisaca","Sucre","AMAKURI","4150446167-D","unique",1,NA
"01010103014","Chuquisaca","Sucre","QUESERA","4151915358-D","unique",1,NA
"01010103018","Chuquisaca","Sucre","CKOLPA KUCHO","4158495819-D","unique",1,NA
"01010103019","Chuquisaca","Sucre","TEJA MAYU","4160965198-D","unique",1,NA
"01010103020","Chuquisaca","Sucre","TURQUICHI","4120616569-D","unique",1,NA
"01010103021","Chuquisaca","Sucre","MARACORI","4177905939-D","unique",1,NA
"01010107012","Chuquisaca","Sucre","PAREDON","4257453631-D","unique",1,NA
"01010109014","Chuquisaca","Sucre","GUERRA LOMA","4126128101-D","unique",1,NA
"01010109018","Chuquisaca","Sucre","KHATALLA BAJA","4199569758-D","unique",1,NA
"01010111012","Chuquisaca","Sucre","SURIMA","4357519178-D","unique",1,NA
"01010115001","Chuquisaca","Sucre","CHAUNACA","4184318000-D","unique",1,NA
"01010115002","Chuquisaca","Sucre","CHUFLE","4187579683-D","unique",1,NA
"01010115004","Chuquisaca","Sucre","PURUMQUILA","4111195010-D","unique",1,NA
"01010115005","Chuquisaca","Sucre","SICI PUCO","4121575134-D","unique",1,NA
"01010115006","Chuquisaca","Sucre","TAJCHI","4111456863-D","unique",1,NA
"01010115007","Chuquisaca","Sucre","KUCHU TAMBO","4198201145-D","unique",1,NA
"01010115008","Chuquisaca","Sucre","QUILA QUILA","4115581465-D","unique",1,NA
"01010115009","Chuquisaca","Sucre","COYULI","4150131642-D","unique",1,NA
"01010115010","Chuquisaca","Sucre","THULLMA","4152387150-D","unique",1,NA
"01010115024","Chuquisaca","Sucre","CHALLCOMA","4153033367-D","unique",1,NA
"01010115039","Chuquisaca","Sucre","PUNILLA GRANDE","4198921876-D","unique",1,NA
"01010115041","Chuquisaca","Sucre","QUIRAYTAMBO","4207226546-D","unique",1,NA
"01010115054","Chuquisaca","Sucre","SANTA CATALINA","4188515182-D","unique",1,NA
"01010115701","Chuquisaca","Sucre","RUFFO","4153358222-D","unique",1,NA
"01010115704","Chuquisaca","Sucre","QUILLA QUILLA MARKA","4119199864-D","unique",1,NA
"01010115705","Chuquisaca","Sucre","NIÑO MAYO","4131551513-D","unique",1,NA
"01010115707","Chuquisaca","Sucre","CHULLCHUTA","4123516879-D","unique",1,NA
"01010115708","Chuquisaca","Sucre","LECOPAYA","4103730189-D","unique",1,NA
"01010115709","Chuquisaca","Sucre","PICACHULO","4120162581-D","unique",1,NA
"01010115710","Chuquisaca","Sucre","GUZMAN","4133238906-D","unique",1,NA
"01010115711","Chuquisaca","Sucre","CAJAMARCA","4225842668-D","unique",1,NA
"01010115712","Chuquisaca","Sucre","KUSILLO","4172329754-D","unique",1,NA
"01010115714","Chuquisaca","Sucre","QHOCHAPATA","4197030448-D","unique",1,NA
"01010115715","Chuquisaca","Sucre","YURUBAMBA","4157328699-D","unique",1,NA
"01010115717","Chuquisaca","Sucre","MAJADA","4154140865-D","unique",1,NA
"01010115718","Chuquisaca","Sucre","SOCA PAMPA","4162072455-D","unique",1,NA
"01010115719","Chuquisaca","Sucre","ULUPICAS","4150152209-D","unique",1,NA
"01010115720","Chuquisaca","Sucre","MARAGUA","4145326801-D","unique",1,NA
"01010115721","Chuquisaca","Sucre","THONTORKA","4165661667-D","unique",1,NA
"01010115722","Chuquisaca","Sucre","HUMACA","4115814963-D","unique",1,NA
"01010115723","Chuquisaca","Sucre","MELGARAJUY","4159838542-D","unique",1,NA
"01010116002","Chuquisaca","Sucre","CHAUPI MOLINO","4262834699-D","unique",1,NA
"01010116003","Chuquisaca","Sucre","COMPUERTA","4316993403-D","unique",1,NA
"01010116004","Chuquisaca","Sucre","CHAURURO","4264451798-D","unique",1,NA
"01010116005","Chuquisaca","Sucre","HUAÑOMA","4236679185-D","unique",1,NA
"01010116006","Chuquisaca","Sucre","SOTANI","4261339385-D","unique",1,NA
"01010116008","Chuquisaca","Sucre","THACOYU","4410316278-D","unique",1,NA
