idioma,c2012_total,c2012_hombres,c2012_mujeres,c2012_urbana,c2012_rural,c2024_total,c2024_hombres,c2024_mujeres,c2024_urbana,c2024_rural,qid,label_en,label_es,wikipedia_articles
BOLIVIA,8756348,4354435,4401913,5927116,2829232,10216385,5094971,5121414,7094525,3121860,NA,NA,NA,
Idiomas oficiales,7675076,3813496,3861580,5139179,2535897,10071583,5019588,5051995,7041013,3030570,NA,NA,NA,
Afroboliviano,NA,NA,NA,NA,NA,428,207,221,52,376,NA,NA,NA,
Araona,24,9,15,2,22,99,57,42,2,97,Q958414,Araona,Idioma araona,ast: Idioma araona; bn: আরাওনা ভাষা; ca: Araona; ckb: زمانی ئارۆنا; de: Araona; en: Araona language; es: Idioma araona; et: Araona keel; fr: Araona; hr: Araona jezik; ja: アラオナ語; lt: Araonų kalba; mk: Араонајски јазик; oc: Araona; pa: ਅਰਾਓਨਾ ਭਾਸ਼ਾ; pms: Lenga araona; ru: Араона (язык); tt: Араона теле; vi: Tiếng Araona; wikifunctions: Z1359
Aymara,836570,404543,432027,329450,507120,576798,267372,309426,143706,433092,Q4627,Aymara,aymara,af: Aymara; anp: आयमारा भाषा; an: Idioma aimara; ar: اللغة الأيمرية; ast: Idioma aymara; ay: Aymar aru; az: Aymara dili; bar: Aymara (Sproch); bat_smg: Aimaru kalba; be: Аймара (мова); bg: Аймара; bn: আইমারা ভাষা; br: Aymareg; ca: Aimara; ce: Аймара (мотт); ckb: زمانی ئەیمارا; cs: Ajmarština; cy: Aymara; da: Aymara (sprog); de: Aymara (Sprache); el: Γλώσσα Αϊμάρα; en: Aymara language; eo: Ajmara lingvo; es: Idioma aimara; et: Aimara keel; eu: Aimara; fa: زبان آیمارا; fi: Aimaran kieli; frr: Aymara; fr: Aymara; gl: Lingua aimará; gn: Aimarañe'ẽ; gv: Aymarish; haw: ʻŌlelo Aimala; he: איימרה (שפה); hr: Ajmarski jezik; hu: Ajmara nyelv; ia: Lingua aymara; id: Bahasa Aymara; ilo: Pagsasao nga Aimara; io: Aymara-linguo; is: Aímaríska; it: Lingua aymara; ja: アイマラ語; ka: აიმარა (ენა); kge: Basa Aymara; kk: Аймара тілі; ko: 아이마라어; ku: Zimanê aymara; kv: Аймара (кыв); la: Lingua Aymara; lfn: Aimara (lingua); lij: Léngoa aymara; lmo: Lengua aymara; lt: Aimarų kalba; lv: Aimaru valoda; mi: Reo Aimāra; mk: Ајмарски јазик; ml: അയ്‌മാറ ഭാഷ; mr: आयमारा भाषा; ms: Bahasa Aymara; mzn: آیمارا; nds: Aymara (Spraak); nl: Aymara (taal); nn: Aymara; no: Aymara (språk); oc: Aimara (lenga); os: Аймара (æвзаг); pap: Aymara; pl: Język ajmara; pms: Lenga aymara sentral; pnb: آیمارا; pt: Língua aimará; qu: Aymara simi; ro: Limba aimara; ru: Аймара (язык); sat: ᱟᱭᱢᱟᱨᱟ ᱯᱟᱹᱨᱥᱤ; se: Aimaragiella; simple: Aymara language; sl: Ajmarščina; sq: Gjuha aimare; sr: Ајмара (језик); stq: Aymara (Sproake); sv: Aymara (språk); sw: Kiaymara; ta: ஐமர மொழி; th: ภาษาไอมารา; tl: Wikang Aymara; tr: Aymaraca; tt: Аймара теле; uk: Аймарська мова; ur: آئیمارا زبان; uz: Aymara tili; vep: Aimaran kel'; vi: Tiếng Aymara; wa: Aymara (lingaedje); wikifunctions: Z1865; wuu: 艾马拉语; xmf: აიმარა (ნინა); zh_min_nan: Aymara-gí; zh_yue: 艾馬拉文; zh: 艾馬拉語
Baure,21,11,10,15,6,10,4,6,6,4,Q2839722,Baure,baure,ast: Idioma baure; az: Baure dili; bn: বাউরে ভাষা; ca: Baure; ckb: زمانی باورە; de: Baure; en: Baure language; es: Idioma baure; et: Baure keel; frr: Baure; fr: Baure; gl: Lingua baure; hr: Baure jezik; id: Bahasa Baure; ig: Baure Asụsụ; ja: バウレ語 (ボリビア); mk: Баурејски јазик; oc: Baure; pms: Lenga baure; pt: Língua baure; ru: Бауре; simple: Baure language; ta: பவுரே மொழி; th: ภาษาเบาเร; tt: Бауре теле; uk: Бауре; vi: Tiếng Baure
Bésiro,2401,1209,1192,602,1799,1341,727,614,443,898,Q1844993,Chiquitano,Idioma chiquitano,ast: Idioma chiquitano; ca: Chiquitano; ckb: زمانی چیکیتانۆ; de: Chiquitano; en: Chiquitano language; eo: Ĉikita lingvo; es: Idioma chiquitano; fa: زبان چیکیتانو; fr: Chiquitano; hr: Chiquitano jezik; mk: Чикитано јазик; pms: Lenga chiquitano; pt: Língua chiquitana; qu: Chikitanu simi; ru: Чикитано (язык); sq: Gjuha Çiquitano; tr: Chiquitano dili; tt: Бесиро теле
Canichana,7,4,3,1,6,7,6,1,3,4,NA,NA,NA,
Castellano,5424685,2725785,2698900,4312320,1112365,8385257,4220637,4164620,6612138,1773119,Q1321,Spanish,español,ab: Аиспан бызшәа; ace: Bahsa Seupanyo; ady: Испаныбзэ; af: Spaans; als: Spanische Sprache; am: እስፓንኛ; ang: Ispānisċ sprǣċ; anp: स्पेनिश भाषा; an: Idioma castellano; arc: ܠܫܢܐ ܐܣܦܢܝܐ; ar: اللغة الإسبانية; ary: صبليونية; arz: لغه اسبانى; ast: Idioma castellanu; as: স্পেনীছ ভাষা; av: Испан мацӀ; ay: Ispañäru; azb: ایسپانیا دیلی; az: İspan dili; ban: Basa Spanyol; bar: Spanische Sproch; bat_smg: Ispanu kalba; ba: Испан теле; bcl: Tataramon na Espanyol; be_x_old: Гішпанская мова; be: Іспанская мова; bg: Испански език; bh: स्पेनिश भाषा; bjn: Basa Spanyul; bm: Espankan; bn: স্পেনীয় ভাষা; bo: སེ་པན་སྐད།; br: Spagnoleg; bs: Španski jezik; btm: Saro Spanyol; bug: ᨅᨔ ᨕᨙᨔᨄᨎᨚᨒ; bxr: Испан хэлэн; ca: Castellà; cbk_zam: Lengua Español; cdo: Să̤-băng-ngà-ngṳ̄; ceb: Kinatsila; ce: Испанхойн мотт; chr: ᏍᏆᏂ ᎧᏬᏂᎯᏍᏗ; ch: Españót; chy: Mé'šeeséve'ho'énestse; ckb: زمانی ئیسپانی; co: Lingua spagnola; crh: İspan tili; csb: Szpańsczi jãzëk; cs: Španělština; cu: Їспанїискъ ѩꙁꙑкъ; cv: Испан чĕлхи; cy: Sbaeneg; da: Spansk (sprog); de: Spanische Sprache; diq: İspanyolki; dsb: Špańšćina; dtp: Boros Sepanyol; dv: އިސްޕެނިޝް; ee: Spangbe; el: Ισπανική γλώσσα; eml: Spagnôl; en: Spanish language; eo: Hispana lingvo; es: Idioma español; et: Hispaania keel; eu: Gaztelania; ext: Lengua castellana; fa: زبان اسپانیایی; fiu_vro: Hispaania kiil; fi: Espanjan kieli; fo: Spanskt mál; frp: Èspagnol; frr: Spoonsk spriak; fr: Espagnol; fur: Lenghe spagnole; fy: Spaansk; gag: İspan dili; gan: 西班牙語; ga: An Spáinnis; gcr: Pannyòl; gd: Spàinntis; glk: ايسپانيايي زوان; gl: Lingua castelá; gn: Epañañe’ẽ; got: 𐌷𐌴𐌹𐍃𐍀𐌰𐌽𐌾𐌰𐍂𐌰𐌶𐌳𐌰; guc: Alijunaiki; gu: સ્પેનિશ ભાષા; gv: Spaainish; hak: Sî-pân-ngà-ngî; ha: Yaren Sifen; haw: ʻŌlelo Kepania; he: ספרדית; hif: Spanish bhasa; hi: स्पेनी भाषा; hr: Španjolski jezik; hsb: Španišćina; ht: Lang panyòl; hu: Spanyol nyelv; hy: Իսպաներեն; ia: Lingua espaniol; iba: Jaku Sepanyol; id: Bahasa Spanyol; ie: Hispan; ik: Sipañatun uqautchiq; ilo: Pagsasao nga Espaniol; inh: ХӀиспаной мотт; io: Kastiliana linguo; is: Spænska; it: Lingua spagnola; iu: ᓯᐸᐃᓂᑎᑐᑦ; jam: Panish; ja: スペイン語; jbo: sanbau; jv: Basa Spanyol; kaa: Ispan tili; kab: Tutlayt taspenyult; ka: ესპანური ენა; kbd: Испаныбзэ; kbp: Ɛsɩpaañɔlɩ kʊnʊŋ; kge: Basa Spanyol; kg: Kispanya; kk: Испан тілі; km: ភាសាអេស្ប៉ាញ; kn: ಸ್ಪ್ಯಾನಿಷ್ ಭಾಷೆ; koi: Эспаннёл кыв; ko: 스페인어; krc: Испан тил; ksh: Schpanische Sproch; ks: ہِسپٲنوی زَبان; ku: Zimanê spanî; kv: Испан кыв; kw: Spaynek; ky: Испан тили; lad: Lingua kastilyana; la: Lingua Hispanica; lbe: Испан маз; lb: Spuenesch; lez: Испан чӀал; lfn: Espaniol (lingua); lij: Lengua spagnòlla; li: Castiliaans; lld: Lingaz spanuel; lmo: Lengua spagnöla; ln: Lispanyoli; lo: ພາສາແອັດສະປາຍ; ltg: Spanīšu volūda; lt: Ispanų kalba; lv: Spāņu valoda; mad: Bhâsa Spanyol; mai: स्पेनिश भाषा; mdf: Испаниянь кяль; mg: Fiteny espaniôla; mhr: Испан йылме; min: Bahaso Spanyol; mi: Reo Pāniora; mk: Шпански јазик; ml: സ്പാനിഷ്‌ ഭാഷ; mni: ꯁ꯭ꯄꯦꯅꯤꯁ ꯂꯣꯟ; mn: Испани хэл; mrj: Испани йӹлмӹ; mr: स्पॅनिश भाषा; ms: Bahasa Sepanyol; mt: Lingwa Spanjola; mwl: Lhéngua spanhola; myv: Испанонь кель; my: စပိန်ဘာသာစကား; mzn: ایسپانیولی; nah: Caxtillantlahtolli; nap: Lengua spagnuola; nds_nl: Spaans; nds: Spaansche Spraak; ne: स्पेनी भाषा; new: स्पेनी भाषा; nl: Spaans; nn: Spansk; nov: Spanum; no: Spansk; nrm: Espangnô; nso: Sespan; nv: Naakaii bizaad; ny: Chispanezi; oc: Espanhòu; olo: Ispanien kieli; os: Испайнаг æвзаг; pag: Salitan Espanyol; pam: Espanyol (amanu); pap: Spaño; pa: ਸਪੇਨੀ ਭਾਸ਼ਾ; pcd: Éspaingnol; pdc: Schpaanisch; pfl: Spanische Sprache; pl: Język hiszpański; pms: Lenga spagneula; pnb: ہسپانوی; ps: اسپانيايي ژبه; pt: Língua castelhana; qu: Ispaña simi; rm: Lingua spagnola; roa_rup: Limba ispańolâ; roa_tara: Lènga spagnole; ro: Limba spaniolă; rue: Шпанєльскый язык; ru: Испанский язык; rw: Icyesipanyole; sah: Испаан тыла; sat: ᱥᱯᱮᱱᱤᱥ ᱯᱟᱹᱨᱥᱤ; sa: स्पैनिशभाषा; scn: Lingua spagnola; sco: Spainish leid; sc: Limba ispagnola; sd: اسپيني ٻولي; se: Spánskkagiella; sg: Espanyöl; shi: Tutlayt Taṣbnyult; sh: Španski jezik; simple: Spanish language; si: ස්පාඤ්ඤ භාෂාව; skr: ہسپانوی ٻولی; sk: Španielčina; sl: Španščina; smn: Espanjakielâ; sm: Faʻa Sipaniolo; sn: ChiSpanish; so: Af-Isbaanish; sq: Gjuha spanjolle; srn: Spanyorotongo; sr: Шпански језик; ss: Sipanishi; stq: Spoanske Sproake; st: Sepanishe; su: Basa Spanyol; sv: Spanska; sw: Kihispania; syl: ꠁꠍ꠆ꠙꠦꠘꠤꠡ ꠝꠣꠔ; szl: Szpanielskŏ gŏdka; ta: எசுப்பானியம்; tcy: ಸ್ಪ್ಯಾನಿಷ್ ಪಾತೆರೊ; tet: Lia-español; te: స్పానిష్ భాష; tg: Забони испониёӣ; th: ภาษาสเปน; ti: ቋንቋ ስጳንኛ; tk: Ispan dili; tl: Wikang Kastila; tly: Ispani zyvon; tn: Sespan; tok: toki Epanja; to: Lea faka-Sipeini; tpi: Tok Spen; trv: Kari Si-pan-ya; tr: İspanyolca; ts: Xipaniya; tt: Испан теле; tum: ChiSpanish; tw: Spanish; tyv: Испан дыл; ty: Reo Paniora; udm: Испан кыл; ug: ئىسپان تىلى; uk: Іспанська мова; ur: ہسپانوی زبان; uz: Ispan tili; vec: Łéngua spagnoła; vep: Ispanijan kel'; ve: Spanish; vi: Tiếng Tây Ban Nha; vls: Spoans; vo: Spanyänapük; war: Kinatsila; wa: Espagnol (lingaedje); wikifunctions: Z1003; wo: Wu-ispaañ; wuu: 西班牙语; xh: IsiSpain; xmf: ესპანური ნინა; yi: שפאניש; yo: Èdè Spéìn; za: Vah Sihbanhyaz; zea: Spaons; zgh: ⵜⵓⵜⵍⴰⵢⵜ ⵜⴰⵚⴱⵍⵢⵓⵏⵜ; zh_classical: 西班牙語; zh_min_nan: Se-pan-gâ-gí; zh_yue: 西班牙文; zh: 西班牙语; zu: IsiSpeyini
Cayubaba,12,8,4,3,9,5,2,3,3,2,NA,NA,NA,
