rank,English exonym,code,total pop.,endonym,language family (branch)
1,English,eng,1.5B,English,Indo-European (Germanic)
2,Mandarin Chinese,cmn,1.1B,普通话,Sino-Tibetan (Sinitic)
3,Hindi,hin,608.8M,मानक हिन्दी,Indo-European (Indo-Aryan)
4,Spanish,spa,559.9M,español,Indo-European (Romance)
5,Standard Arabic,arb,332.5M,العربية,Afro-Asiatic (Semitic)
6,French,fra,311.6M,français,Indo-European (Romance)
7,Bengali,ben,278.2M,বাংলা,Indo-European (Indo-Aryan)
8,Portuguese,por,263.8M,Português,Indo-European (Romance)
9,Russian,rus,255.4M,русский язык‎,Indo-European (Slavic)
10,Urdu,urd,237.9M,اُردُو,Indo-European (Indo-Aryan)
11,Indonesian,ind,199.0M,Bahasa Indonesia,Austronesian (Malayo-Polynesian)
12,Standard German,deu,133.9M,Deutsch,Indo-European (Germanic)
13,Japanese,jpn,123.5M,日本語‎,Japonic
14,Nigerian Pidgin,pcm,120.7M,Naijá,English-Based Creole
15,Egyptian Arabic,arz,103.4M,مصري,Afro-Asiatic (Semitic)
16,Marathi,mar,99.3M,मराठी,Indo-European (Indo-Aryan)
17,Telugu,tel,95.8M,తెలుగు,Dravidian
18,Turkish,tur,90.1M,Türkçe,Turkic
19,Hausa,hau,88.2M,Hausa,Afro-Asiatic (Chadic)
20,Tamil,tam,86.7M,தமிழ்,Dravidian
21,Yue Chinese,yue,86.6M,粵語,Sino-Tibetan (Sinitic)
22,Swahili,swh,86.5M,Kiswahili,Niger-Congo (Bantoid)
23,Vietnamese,vie,86.3M,Tiếng Việt,Austroasiatic
24,Wu Chinese,wuu,83.4M,江南话,Sino-Tibetan (Sinitic)
25,Tagalog,tgl,83.4M,Tagalog,Austronesian (Malayo-Polynesian)
26,Western Punjabi,pnb,82.3M,پنجابی,Indo-European (Indo-Aryan)
27,Korean,kor,81.1M,한국말,Koreanic
28,Iranian Persian,pes,78.8M,فارسی,Indo-European (Iranic)
29,Javanese,jav,68.3M,Jawa,Austronesian (Malayo-Polynesian)
30,Italian,ita,66.8M,Italiano,Indo-European (Romance)
31,Gujarati,guj,62.7M,ગુજરાત,Indo-European (Indo-Aryan)
32,Thai,tha,61.1M,ภาษาไทย,Tai-Kadai
33,Amharic,amh,59.7M,ኣማርኛ,Afro-Asiatic (Semitic)
34,Kannada,kan,58.7M,ಕನ್ನಡ,Dravidian
35,Levantine Arabic,apc,53.5M,شامي,Afro-Asiatic (Semitic)
36,Bhojpuri,bho,52.7M,भोजपुरी,Indo-European (Indo-Aryan)
37,Min Nan Chinese,nan,50.6M,闽南语,Sino-Tibetan (Sinitic)
38,Sudanese Arabic,apd,48.4M,سوداني,Afro-Asiatic (Semitic)
39,Jinyu Chinese,cjy,48.0M,晋语,Sino-Tibetan (Sinitic)
40,Yoruba,yor,47.2M,Èdè Yorùbá,Niger-Congo (Yoruboid)
41,Hakka Chinese,hak,43.9M,客家話‎,Sino-Tibetan (Sinitic)
42,Burmese,mya,43.2M,မြန်မာစကား,Sino-Tibetan (Burmo-Qiangic)
43,Polish,pol,41.8M,język polski‎,Indo-European (Slavic)
44,Algerian Arabic,arq,41.5M,العامية,Afro-Asiatic (Semitic)
45,Lingala,lin,40.5M,Lingala,Niger-Congo (Bantoid)
46,Odia,ory,39.8M,ଓଡ଼ିଆ,Indo-European (Indo-Aryan)
47,Moroccan Arabic,ary,39.0M,الدارجة,Afro-Asiatic (Semitic)
48,Ukrainian,ukr,38.9M,українська мова‎,Indo-European (Slavic)
49,Xiang Chinese,hsn,38.1M,湘语,Sino-Tibetan (Sinitic)
50,Malayalam,mal,37.7M,മലയാളം,Dravidian
51,Eastern Punjabi,pan,37.2M,ਪੰਜਾਬੀ ਭਾਸ਼ਾ‎,Indo-European (Indo-Aryan)
52,Sindhi,snd,32.5M,سنڌي,Indo-European (Indo-Aryan)
53,Sunda,sun,32.4M,Basa Sunda,Austronesian (Malayo-Polynesian)
54,Nepali,npi,32.0M,नेपाली,Indo-European (Indo-Aryan)
55,Dari,prs,31.3M,دری,Indo-European (Iranic)
56,Igbo,ibo,30.9M,Asụsụ Igbo,Niger-Congo (Igboid)
57,Northern Uzbek,uzn,29.1M,ўзбек тили,Turkic
58,Zulu,zul,27.8M,isiZulu,Niger-Congo (Bantoid)
59,Saraiki,skr,25.6M,سرائیکی,Indo-European (Indo-Aryan)
60,Dutch,nld,25.3M,Nederlands,Indo-European (Germanic)
61,Romanian,ron,25.2M,Limba română,Indo-European (Romance)
62,Sa'idi Arabic,aec,25.1M,صعيدى,Afro-Asiatic (Semitic)
63,West Central Oromo,gaz,24.8M,Afaan Oromoo,Afro-Asiatic (Cushitic)
64,Northern Pashto,pbu,24.4M,پښتو,Indo-European (Iranic)
65,Somali,som,23.9M,Af-Soomaali,Afro-Asiatic (Cushitic)
66,Wolof,wol,22.6M,Wolof làkk,Niger-Congo (North-Central Atlantic)
67,Gan Chinese,gan,22.6M,江西話,Sino-Tibetan (Sinitic)
68,Maithili,mai,22.0M,मैथिली,Indo-European (Indo-Aryan)
69,Magahi,mag,21.0M,मगही,Indo-European (Indo-Aryan)
70,Xhosa,xho,19.2M,isiXhosa,Niger-Congo (Bantoid)
71,Malay,zlm,19.2M,Bahasa Melayu,Austronesian (Malayo-Polynesian)
72,Najdi Arabic,ars,18.5M,نجدي,Afro-Asiatic (Semitic)
73,Southern Pashto,pbt,18.4M,پښتو,Indo-European (Iranic)
74,Afrikaans,afr,18.1M,Afrikaans,Indo-European (Germanic)
75,Sinhala,sin,17.9M,සිංහල,Indo-European (Indo-Aryan)
76,Khmer,khm,17.6M,ខ្មែរ‎,Austroasiatic
77,Mesopotamian Arabic,acm,17.5M,اللهجة العراقية,Afro-Asiatic (Semitic)
78,Nigerian Fulfulde,fuv,16.6M,Fulfulde,Niger-Congo (North-Central Atlantic)
79,Kazakh,kaz,16.6M,казақ тілі,Turkic
80,Northern Kurdish,kmr,16.5M,Kurmancî,Indo-European (Iranic)
81,Chhattisgarhi,hne,16.3M,छत्तीसगढ़ी,Indo-European (Indo-Aryan)
82,Cebuano,ceb,16.0M,Binisaya,Austronesian (Malayo-Polynesian)
83,Assamese,asm,15.3M,অসমীয়া,Indo-European (Indo-Aryan)
84,Northeastern Thai,tts,15.0M,อีสาน‎,Tai-Kadai
85,Kinyarwanda,kin,14.8M,Ikinyarwanda,Niger-Congo (Bantoid)
86,Bavarian,bar,14.7M,Boarisch,Indo-European (Germanic)
87,Chichewa,nya,14.4M,Chicheŵa,Niger-Congo (Bantoid)
88,Bamanankan,bam,14.2M,Bamanankan,Niger-Congo (Mande)
89,Setswana,tsn,13.7M,Setswana,Niger-Congo (Bantoid)
90,Northern Sotho,nso,13.7M,Sesotho sa Leboa,Niger-Congo (Bantoid)
