"fiscal_year","canonical_id","canonical_name","facility_name","facility_city","facility_state","facility_address","facility_zip","facility_aor","facility_type_detailed","facility_male_female","facility_average_length_of_stay_alos","adp_detainee_classification_level_a","adp_detainee_classification_level_b","adp_detainee_classification_level_c","adp_detainee_classification_level_d","adp_criminality_male_crim","adp_criminality_male_non_crim","adp_criminality_female_crim","adp_criminality_female_non_crim","adp_ice_threat_level_1","adp_ice_threat_level_2","adp_ice_threat_level_3","adp_no_ice_threat_level","adp_mandatory","inspections_guaranteed_minimum","inspections_last_inspection_type","inspections_last_inspection_standard","inspections_last_inspection_rating_final","inspections_last_inspection_date","inspections_second_to_last_inspection_type","inspections_second_to_last_inspection_standard","inspections_second_to_last_inspection_rating","inspections_second_to_last_inspection_date","sum_classification_levels","sum_criminality_levels","sum_threat_levels","share_non_crim","share_no_threat","facility_type_wiki","inspections_odo_inspection_end_date","inspections_odo_last_inspection_standard","inspections_odo_final_rating","inspections_last_nakamoto_inspection_standard","inspections_last_nakamoto_inspection_rating_final","inspections_last_nakamoto_inspection_date","inspections_second_to_last_nakamoto_inspection_type","inspections_second_to_last_nakamoto_inspection_standard","inspections_second_to_last_nakamoto_inspection_date","inspections_last_inspection_end_date","inspections_pending_inspection","inspections_last_final_rating"
"FY19",352,"Stewart Detention Center","Stewart Detention Center","Lumpkin","GA","146 Cca Road","31815","ATL","DIGSA","Male",44.8,1150.2,315,237.9,207.5,883,1027.4,0.1,0,316,202.3,369,1023.2,1507.3,1600,"Regular","PBNDS 2011","Meets Standard","5/9/2019","Regular","PBNDS 2011","Meets Standard","2018-05-03",1910.6,1910.5,1910.5,0.537764982988746,0.535566605600628,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",347,"South Texas ICE Processing Center","South Texas ICE Processing Center","Pearsall","TX","566 Veterans Drive","78061","SNA","CDF","Female/Male",30.3,1222.7,271.9,189.5,104,790.5,798.4,74.2,124.9,135.6,156.9,582.7,912.8,1268.3,1350,"Regular","PBNDS 2011","Meets Standard","2/28/2019","Regular","PBNDS 2011","Meets Standard","2018-03-22",1788.1,1788,1788,0.516387024608501,0.510514541387025,"Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",107,"Adelanto ICE Processing Center","Adelanto ICE Processing Center","Adelanto","CA","10250 Rancho Road","92301","LOS","DIGSA","Female/Male",53.5,978.6,96,259.1,377.2,642.1,811.2,89.4,168.1,394.1,180.7,153.4,982.6,1343.9,1455,"Regular","PBNDS 2011","Meets Standard","11/21/2019","Regular","PBNDS 2011","Pending","2019-11-20",1710.9,1710.8,1710.8,0.572422258592471,0.57435118073416,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",125,"Eloy Detention Center","Eloy Detention Center","Eloy","AZ","1705 East Hanna Rd.","85131","PHO","DIGSA","Female/Male",39.8,1148.9,120.7,104.5,77.3,223.3,517.1,109.1,601.8,81.1,63.3,189.7,1117.3,964.6,NA,"Regular","PBNDS 2011","Meets Standard","2/6/2020","Regular","PBNDS 2011","Meets Standard","2019-02-07",1451.4,1451.3,1451.4,0.77096396334321,0.769808460796472,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",361,"Northwest ICE Processing Center","Tacoma ICE Processing Center (Northwest Detention Center)","Tacoma","WA","1623 E. J Street","98421","SEA","CDF","Female/Male",73.6,666.4,195.7,247.5,232.1,582.1,530.8,55.2,173.6,316.3,154.1,165.2,706,950.7,1181,"Regular","PBNDS 2011","Meets Standard","5/16/2019","Regular","PBNDS 2011","Meets Standard","2018-04-19",1341.7,1341.7,1341.6,0.525005589923232,0.52623732856291,"Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",317,"Port Isabel Detention Center","Port Isabel","Los Fresnos","TX","27991 Buena Vista Boulevard","78566","SNA","SPC","Female/Male",6.8,1162.7,43.6,10.1,14.9,200.2,851.8,22.6,156.6,42.9,45.3,135.4,1007.7,1062.3,800,"Regular","PBNDS 2011","Meets Standard","1/30/2020","Regular","PBNDS 2011","Meets Standard","2019-01-31",1231.3,1231.2,1231.3,0.819038336582196,0.818403313571023,"ICE Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",201,"La Palma Correctional Center","La Palma Correctional Center","Eloy","AZ","5501 North La Palma Road","85131","PHO","IGSA","Male",51.3,965.9,133.1,79.9,42.6,282.6,938.6,0,0.4,47.8,41.9,195.6,936.4,797.9,650,"Regular","PBNDS 2011","Meets Standard","6/27/2019","N/A",NA,NA,NA,1221.5,1221.6,1221.7,0.768664047151277,0.766472947532127,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",210,"Central Louisiana ICE Processing Center (CLIPC)","Lasalle ICE Processing Center (Jena)","Jena","LA","830 Pinehill Road","71342","NOL","DIGSA","Female/Male",37.1,348.3,304.4,419.8,106.7,569.9,410.5,79.7,119,274,164.5,211,529.8,653.4,1170,"Regular","PBNDS 2011","Meets Standard","9/26/2019","Regular","PBNDS 2011","Meets Standard","2018-09-27",1179.2,1179.1,1179.3,0.449071325587312,0.449249554820656,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",362,"Tallahatchie County Correctional Facility","Tallahatchie County Correctional Facility","Tutwiler","MS","415 U.s. Highway 49 North","38963","NOL","USMS IGA","Male",30.7,1043.6,61,5,1.1,141.3,969,0.1,0.2,2.2,6,134.8,967.7,1060.8,NA,"Regular","NDS","Acceptable","8/15/2019","N/A",NA,NA,NA,1110.7,1110.6,1110.7,0.872681433459391,0.871252363374449,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",345,"South Texas Family Residential Center","South Texas Family Residential Center","Dilley","TX","1925 West Highway 85","78017","SNA","FAMILY","Female/Male",12.2,1071.4,3.5,0.3,0.1,0,266.4,3.2,805.8,0,0.1,3.3,1072,730.6,2400,"Regular","JFRMU Family","Pending","1/9/2020","Regular","JFRMU Family","Pending","2019-11-13",1075.3,1075.4,1075.4,0.997024363027711,0.996838385716942,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",285,"Otay Mesa Detention Center","Otay Mesa Detention Center (San Diego Cdf)","San Diego","CA","7488 Calzada De La Fuente","92154","SND","USMS CDF","Female/Male",87.4,642.7,173.7,69.3,80.3,261.3,547.4,26,131.2,152.2,54.2,79.2,680.4,774.7,750,"Regular","PBNDS 2011","Meets Standard","1/24/2020","Regular","PBNDS 2011","Meets Standard","2019-01-25",966,965.9,966,0.702557200538358,0.704347826086956,"Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",287,"Otero County Processing Center","Otero County Processing Center","Chaparral","NM","26 Mcgregor Range Road","88081","ELP","DIGSA","Male",51.7,575.4,323.3,39.2,20,421,536.9,0,0,38.7,47.6,343.6,528,735.1,NA,"Regular","PBNDS 2011","Meets Standard","1/30/2020","Regular","PBNDS 2011","Meets Standard","2019-01-31",957.9,957.9,957.9,0.560496920346591,0.5512057626057,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",246,"Montgomery ICE Processing Center","Montgomery ICE Processing Center","Conroe","TX","806 Hilbig Rd","77301","HOU","CDF","Female/Male",19.5,350.9,260.3,151.8,188.1,499.7,327.8,46.1,77.5,230.6,137.5,192.2,390.8,549.1,750,"Regular","PBNDS 2011","Meets Standard","12/19/2019","Regular","PBNDS 2011","Meets Standard","2018-12-20",951.1,951.1,951.1,0.426138155819577,0.410892650615077,"Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",173,"IAH Secure Adult Detention Facility (Polk)","IAH Secure Adult Detention Facility (Polk)","Livingston","TX","3400 Fm 350 South","77351","HOU","IGSA","Male",54.6,669.7,123.3,67.7,48.2,222,687,0,0,54.6,45.8,131.8,676.8,671.5,NA,"Regular","NDS","Acceptable","1/9/2020","Regular","NDS","Acceptable","2019-01-10",908.9,909,909,0.755775577557756,0.744554455445545,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",170,"Houston Processing Center","Houston Processing Center","Houston","TX","15850 Export Plaza Drive","77032","HOU","CDF","Female/Male",35,446.8,225,138.8,97.5,348,377.9,46.7,135.5,98,99,215.6,495.5,699,750,"Regular","PBNDS 2011","Meets Standard","1/9/2020","Regular","PBNDS 2011","Meets Standard","2019-01-10",908.1,908.1,908.1,0.565356238299747,0.545644752780531,"Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",103,"Denver Contract Detention Facility","Denver Contract Detention Facility","Aurora","CO","3130 N. Oakland St.","80010","DEN","CDF","Female/Male",62.5,435.3,122.4,214.9,115.9,393.2,434.6,19.7,40.9,171.8,131.3,111.3,474,657.2,525,"Regular","PBNDS 2011","Meets Standard","11/27/2019","Regular","PBNDS 2011","Meets Standard","2018-10-04",888.5,888.4,888.4,0.535231877532643,0.533543448896893,"Private Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",296,"Pine Prairie ICE Processing Center","Pine Prairie ICE Processing Center","Pine Prairie","LA","1133 Hampton Dupre Road","70576","NOL","DIGSA","Male",62.9,509,202.6,123.7,32.7,253.1,614.8,0,0,54,56.7,145,612.3,621.2,NA,"Regular","PBNDS 2011","Meets Standard","4/25/2019","Regular","PBNDS 2011","Meets Standard","2018-04-26",868,867.9,868,0.708376541076161,0.705414746543779,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",177,"Irwin County Detention Center","Irwin County Detention Center","Ocilla","GA","132 Cotton Drive","31772","ATL","USMS IGA","Female/Male",42.4,409.7,242.7,105,92.6,309.6,270.5,108.2,161.6,171.9,111.3,141.7,424.9,534.4,NA,"Regular","PBNDS 2008","Meets Standard","6/13/2019","Regular","PBNDS 2008","Meets Standard","2018-06-14",850,849.9,849.8,0.508412754441699,0.5,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",184,"Joe Corley Processing Center","Joe Corley ICE Processing Center","Conroe","TX","500 Hilbig Rd.","77301","HOU","IGSA","Female/Male",33.9,594.7,115.8,65.3,68.3,215.3,300.7,32.4,295.8,76,43.9,139.1,585.1,698.8,NA,"Regular","PBNDS 2011","Meets Standard","11/15/2019","Regular","PBNDS 2011","Meets Standard","2018-11-16",844.1,844.2,844.1,0.706586117033878,0.693164317024049,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",121,"El Paso Service Processing Center","El Paso Service Processing Center","El Paso","TX","8915 Montana Ave.","79925","ELP","SPC","Female/Male",9.9,427.5,277.1,59.1,49,272.1,276.6,124.1,139.9,64.5,61.2,273,414,641,600,"Regular","PBNDS 2011","Meets Standard","12/12/2019","Regular","PBNDS 2011","Meets Standard","2018-12-13",812.7,812.7,812.7,0.512489233419466,0.509413067552602,"ICE Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",127,"Delaney Hall Detention Facility","Essex County Correctional Facility","Newark","NJ","354 Doremus Avenue","7105","NEW","IGSA","Male",95.1,114.3,56,370.9,240.1,454.9,326.3,0.1,0.1,251.2,100.3,109.5,320.4,434.8,NA,"Regular","PBNDS 2011","Meets Standard","9/26/2019","Regular","PBNDS 2011","Meets Standard","2018-09-27",781.3,781.4,781.4,0.417711799334528,0.410033273611467,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",199,"Krome North Service Processing Center","Krome North Service Processing Center","Miami","FL","18201 Southwest 12th Street","33194","MIA","SPC","Male",24.5,290.2,87,174.3,176.8,397.8,330.2,0.3,0,177.6,107.4,115.7,327.6,495.1,450,"Regular","PBNDS 2011","Pending","2/13/2020","Regular","PBNDS 2011","Meets Standard","2019-02-14",728.3,728.3,728.3,0.453384594260607,0.449814636825484,"ICE Migrant Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",227,"Folkston Main IPC","Main - Folkston IPC (D Ray James)","Folkston","GA","3026 Highway 252 East","31537","ATL","DIGSA","Male",59.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544,"Regular","PBNDS 2011","Meets Standard","6/6/2019","Regular","PBNDS 2011","Meets Standard","2017-03-23",0,0,0,NA,NA,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FY19",401,"York County Prison","York County Prison","York","PA","3400 Concord Road","17402","PHI","IGSA","Female/Male",55.2,275.9,162.2,152.2,123.4,385.3,265.4,21.3,41.6,210,86.9,111,305.7,569.8,NA,"Regular","PBNDS 2008","Meets Standard","10/18/2019","Regular","PBNDS 2008","Meets Standard","2018-10-18",713.7,713.6,713.6,0.430213004484305,0.428391255605381,"Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
