"canonical_id","canonical_name","FY19","FY20","FY21","FY22","FY23","FY24","FY25","FY26","n_years","first_seen","last_seen","trajectory","n_years_current","n_years_initial"
352,"Stewart Detention Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
347,"South Texas ICE Processing Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
107,"Adelanto ICE Processing Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
125,"Eloy Detention Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
361,"Northwest ICE Processing Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
317,"Port Isabel Detention Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
201,"La Palma Correctional Center",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,"FY19","FY22","closed",0,4
210,"Central Louisiana ICE Processing Center (CLIPC)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
362,"Tallahatchie County Correctional Facility",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"FY19","FY20","closed",0,2
345,"South Texas Family Residential Center",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"FY19","FY21","closed",0,3
285,"Otay Mesa Detention Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
287,"Otero County Processing Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
246,"Montgomery ICE Processing Center",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
173,"IAH Secure Adult Detention Facility (Polk)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,"FY19","FY26","continuous",8,8
