"idnum","pais","nationality","estratopri","estratosec","strata","prov","municipio","upm","ur","cluster","year","wave","wt","q1tc_r","q2","a4n","soct2","idio2","cp6","cp7","cp8","cp13","it1","l1n","jc10","jc13","jc15a","jc16a","vic1ext","aoj8","aoj11","aoj12","countfair1","countfair3","chm1bn","chm2bn","b0","b1","b2","b3","b4","b6","b10a","b11","b12","b13","b18","b20","b21","b21a","b31","b32","b37","b47a","bolb23a","bolb50","m1","sd3new2","sd6new2","pop101","pop107","ros4","ing4","eff1","eff2","boldi29","vb21n","crg1","crg2","env1c","env2b","anestg","pn4","e5","e17a","e17b","d3","d4","d5","d6","d5newa","d7a","d5newb","d7b","exc2","exc6","exc18","exc7","exc7new","lib2c","vb2","vb3n","vb10","vb11","pol1","cv5","vb20","pra4n","pra5","pra16_1","pra16_2","pra16_3","pra16_4","pra16_5","pra16_6","pra16_7","pra16_8","pra16_9","pra16_77","pra11a","pra11b","pra11c","pra17a","pra17b","pra17c","pra18a","pra18b","pra18c","pra19a","pra19b","pra8n","pra15_1","pra15_2","pra15_3","pra15_4","pra15_5","pra15_6","pra15_7","pra15_8","pra15_9","vb50","vb51","vb52","vb58","vb58exp","w14a","mil10a","mil10b","mil10e","dis11","dis12","childm6","childm7","childm8","childm9","childm10","childm11","childm12","childm13","boljus5","boljus9","boljus12","wf1","bolcct1a","bolcct1b","bolcct1c","edre","q3cn","q5b","ocup4a","ocupoit","formal","q10inc","q10e","q14","fs2","fs212","ws1","ws2","q11n","q12cn","q12bn","q12bnf","q12p","etid","boletidnew","boletidnewb","leng1","leng4","gi0n","smedia1n","smedia3n","smedia3b","smedia11","smedia12","smedia13","smedia14n","smedia15","smedia16","r3","r4a","r6","r7","r12","r15","r18n","r18","r16","r27","colorr","noise1","conocim","sexin","colori","fecha","formatq","idiomaq","genero_f","ur_f","region_f","mun_size_f","etid_f","indig_id_f","indig_group_f","leng_materna_f","leng_padres_f","educacion_f","sit_laboral_f","estado_civil_f"
5999,10,10,1001,1,1001,10201,1020101,82,1,200,2023,2023,1,2,52,6,2,2,1,4,2,4,1,7,2,NA,NA,1,2,2,2,4,1,1,NA,2,4,3,3,3,2,2,1,1,3,2,5,3,1,1,1,3,4,4,2,1,4,2,3,7,4,7,5,2,6,7,5,2,2,5,2,4,3,5,7,NA,10,8,8,3,1,1,NA,NA,1,0,0,1,4,1,1,1002,2,NA,1,4,3,1,2,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,1,0,0,3,3,NA,2,NA,1,2,2,1,4,2,1,2,NA,2,2,NA,NA,NA,2,2,2,2,2,2,2,6,2,1,3,NA,NA,1001,2,1,0,0,1,1,1,1,0,NA,0,2,1,2,1001,2,1,1,1,1,1,1,3,3,3,2,1,1,0,0,1,1,0,1,1,0,3,0,1,2,4,2023-05-03,4,1,"Mujer/femenino","Urbano","La Paz","Grande (Más de 100,000 habitantes)","Mestiza","Sí","Aymara","Castellano/español","Castellano e idioma nativo","Universitaria o superior no universitaria o educación técnica completa","Está buscando trabajo activamente?","Soltero"
3621,10,10,1001,1,1001,10201,1020101,56,1,108,2023,2023,1,1,55,1,3,3,4,4,4,4,1,7,NA,1,NA,1,2,1,3,3,3,3,NA,1,4,2,6,2,7,1,2,3,5,1,1,2,2,2,2,2,4,3,1,2,4,3,4,2,2,1,3,2,1,3,6,2,2,2,1,3,4,6,NA,5,6,4,6,2,5,2,NA,NA,0,0,0,3,4,1,1,1002,2,NA,3,5,3,2,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,1,0,0,0,0,0,0,0,3,3,NA,NA,2,1,NA,4,3,2,4,2,4,2,NA,NA,2,NA,NA,2,1,2,2,2,1,2,1,1,1,1,7,2,1005,3,2,0,0,0,NA,2,7,3,1,23,2,2,NA,1001,2,1,1,4,NA,2,2,3,3,3,1,1,1,0,0,1,1,1,1,1,0,6,1,3,2,4,2023-04-22,4,1,"Hombre/masculino","Urbano","La Paz","Grande (Más de 100,000 habitantes)","Mestiza","No",NA,"Castellano/español","Castellano e idioma nativo","Primaria incompleta","Trabajando?","Casado"
5202,10,10,1001,3,1001,10206,1020602,20,1,259,2023,2023,1,1,31,1009,1,1,4,1,2,4,1,10,2,NA,NA,1,2,2,4,1,1,1,1,NA,7,1,5,7,7,7,1,4,6,7,7,1,7,7,7,3,7,7,5,7,3,4,3,6,7,7,7,6,7,7,6,1,1,6,3,3,2,9,NA,8,9,8,9,8,NA,NA,9,8,0,1,NA,3,3,2,1,1001,2,NA,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,1,0,0,0,2,NA,3,3,NA,1,NA,3,3,3,2,2,3,1,NA,NA,NA,NA,1,1,1,1,2,1,1,2,3,5,1,1,9,2,1009,3,1,1,NA,1,3,3,10,3,3,0,NA,1,1,1001,3,NA,1,4,NA,1,1,1,2,4,2,NA,1,0,0,0,0,1,1,1,1,4,1,4,2,4,2023-04-26,4,1,"Hombre/masculino","Urbano","La Paz","Pequeña (Menos de 25,000 habitantes)",NA,"Sí","Quechua","Castellano/español","Sólo idioma nativo","Secundaria incompleta","Trabajando?","Unión libre (acompañado)"
980,10,10,1001,1,1001,10201,1020101,82,1,122,2023,2023,1,1,18,1,3,2,4,4,4,4,3,6,1,NA,1,NA,1,2,2,3,2,1,2,NA,3,4,4,2,3,4,3,2,5,3,2,4,1,3,3,4,3,3,2,2,4,4,3,3,4,5,6,3,2,1,6,2,2,5,2,3,3,7,NA,7,4,7,8,8,8,9,NA,NA,0,0,0,2,4,1,2,NA,2,NA,3,1,4,2,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,0,0,0,0,1,0,0,0,3,1,NA,3,NA,1,NA,2,3,4,4,1,3,NA,NA,1,NA,2,NA,2,2,2,2,1,2,2,5,1,1,4,NA,NA,1004,2,2,0,0,0,NA,1,9,2,3,0,2,1,1,1001,2,3,1,2,NA,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,0,2,2,4,2023-05-03,4,1,"Hombre/masculino","Urbano","La Paz","Grande (Más de 100,000 habitantes)","Mestiza","Sí","Quechua","Castellano/español","Castellano e idioma nativo","Universitaria o superior no universitaria o educación técnica incompleta","Es estudiante?","Soltero"
5992,10,10,1001,3,1001,10220,1022001,77,2,258,2023,2023,1,1,19,1,2,1,1,2,2,4,2,3,1,NA,NA,1,1,2,1,4,2,3,NA,2,3,4,6,5,6,6,5,6,5,5,3,4,5,5,5,6,3,4,5,5,5,3,4,5,4,5,4,5,4,6,3,1,1,1,1,4,4,7,NA,6,5,5,4,7,NA,NA,6,5,0,0,1,3,2,1,2,NA,2,NA,3,4,4,2,NA,1,0,0,0,0,0,0,0,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,0,0,2,NA,3,NA,3,1,NA,NA,NA,4,4,1,1,1,NA,NA,1,NA,NA,1,1,1,1,2,1,1,5,1,2,4,NA,NA,1003,1,2,0,0,0,NA,1,3,0,NA,0,NA,2,NA,1001,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,1,0,1,1,1,4,1,2,2,4,2023-04-27,4,1,"Hombre/masculino","Rural","La Paz","Pequeña (Menos de 25,000 habitantes)",NA,"No",NA,"Castellano/español","Solo castellano","Universitaria o superior no universitaria o educación técnica incompleta","Es estudiante?","Soltero"
8027,10,10,1001,3,1001,10220,1022001,77,2,258,2023,2023,1,2,65,1,3,3,1,4,2,4,3,1,NA,1,NA,1,2,1,2,1,1,3,NA,2,2,3,4,3,1,1,2,3,2,3,3,1,1,2,2,3,2,3,4,5,3,2,2,1,1,1,2,1,1,2,NA,1,1,1,2,2,3,2,1,NA,2,1,1,1,NA,NA,1,2,0,0,0,4,2,1,1,NA,2,NA,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,0,0,0,0,0,0,0,0,3,3,NA,2,NA,1,2,3,4,4,4,2,3,NA,1,NA,NA,1,NA,1,2,3,2,1,2,2,1,5,1,5,NA,NA,NA,3,2,0,0,0,NA,2,2,0,NA,0,2,2,NA,1001,2,1,2,NA,NA,2,2,4,4,4,1,1,1,0,0,1,0,0,0,1,1,3,0,3,2,4,2023-04-27,4,1,"Mujer/femenino","Rural","La Paz","Pequeña (Menos de 25,000 habitantes)","Mestiza","No",NA,"Castellano/español","Castellano e idioma nativo","Primaria incompleta","Se dedica a los quehaceres de su hogar?","Casado"
2455,10,10,1001,1,1001,10201,1020101,56,1,102,2023,2023,1,1,75,5,3,1,1,4,3,4,2,NA,NA,1,NA,1,2,1,1,NA,1,2,2,NA,4,4,3,5,4,2,3,3,4,4,5,2,2,3,2,3,3,2,3,2,2,2,2,2,3,3,2,3,2,2,1,1,1,2,3,2,2,2,2,NA,2,3,1,5,1,2,NA,NA,1,0,0,4,3,1,1,1001,2,NA,3,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,1,0,2,3,NA,NA,2,1,4,4,4,3,3,2,3,NA,NA,1,NA,NA,1,1,3,1,2,1,2,2,1,5,1,6,NA,NA,1004,3,2,0,0,0,NA,3,2,0,NA,20,4,NA,NA,1003,2,1,1,2,NA,1,2,4,3,4,1,1,1,1,0,1,0,0,0,1,0,5,0,3,2,4,2023-05-06,4,1,"Hombre/masculino","Urbano","La Paz","Grande (Más de 100,000 habitantes)","Negra",NA,NA,"Aymara","Castellano e idioma nativo","Primaria incompleta","Está jubilado, pensionado o incapacitado permanentemente para trabajar?","Unión libre (acompañado)"
9237,10,10,1001,1,1001,10201,1020101,56,1,102,2023,2023,1,2,62,6,3,3,4,4,4,4,2,4,1,NA,1,NA,2,1,3,4,2,2,2,NA,5,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,4,1,2,1,5,3,3,5,4,5,2,2,6,6,1,2,2,7,1,4,4,1,NA,3,4,3,4,2,5,2,NA,NA,1,0,0,2,4,1,1,1001,2,NA,4,5,3,2,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,2,0,0,0,0,0,0,1,0,0,2,NA,3,2,NA,1,4,4,2,4,2,1,2,NA,NA,1,NA,2,NA,2,1,2,2,1,2,2,5,1,2,7,NA,NA,1002,2,2,0,0,1,1,2,2,0,NA,19,2,2,NA,1001,2,1,1,2,NA,2,1,2,1,3,3,1,1,1,1,1,1,1,1,1,1,2,0,2,2,4,2023-05-16,4,1,"Mujer/femenino","Urbano","La Paz","Grande (Más de 100,000 habitantes)","Mestiza","No",NA,"Castellano/español","Castellano e idioma nativo","Universitaria o superior no universitaria o educación técnica incompleta","No trabaja y no está buscando trabajo?","Casado"
1796,10,10,1001,3,1001,10206,1020602,20,1,259,2023,2023,1,2,28,1,3,3,4,4,3,4,3,5,NA,1,NA,2,1,1,4,4,2,2,1,NA,1,3,7,5,6,5,4,3,4,4,2,5,2,3,3,4,3,3,3,4,3,4,4,4,4,3,4,4,4,4,1,2,2,3,1,2,3,4,NA,5,4,4,3,2,NA,NA,2,2,0,0,0,3,5,1,1,1001,2,NA,2,5,4,2,NA,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,2,0,1,0,0,0,1,0,0,0,3,3,NA,NA,1,1,NA,NA,NA,4,4,2,1,2,NA,NA,NA,NA,2,2,2,1,2,2,2,2,6,1,1,1,5,2,1007,2,1,1,NA,1,4,3,3,1,1,NA,3,1,7,1001,2,2,1,1,1,1,1,1,2,3,3,1,1,1,0,0,0,1,1,1,1,3,1,2,2,4,2023-04-26,4,1,"Mujer/femenino","Urbano","La Paz","Pequeña (Menos de 25,000 habitantes)","Indígena - originaria","Sí","Otro","Castellano/español","Castellano e idioma nativo","Universitaria o superior no universitaria o educación técnica completa","Trabajando?","Unión libre (acompañado)"
9926,10,10,1001,1,1001,10201,1020101,56,1,108,2023,2023,1,2,20,1,3,3,1,4,4,4,2,5,NA,2,2,NA,2,2,4,3,2,1,NA,2,3,2,5,3,5,5,4,2,4,4,2,1,2,5,4,2,3,2,4,4,3,2,3,3,2,6,4,2,2,2,5,2,1,4,3,2,3,2,10,NA,7,3,1,1,8,3,NA,NA,0,0,0,2,3,1,1,1001,2,NA,3,4,4,2,NA,0,0,0,0,0,0,1,0,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,0,0,3,3,NA,4,NA,2,NA,NA,NA,4,4,2,3,NA,2,NA,2,NA,NA,2,2,2,2,1,1,1,5,5,1,1,9,1,1003,3,2,1,NA,0,NA,2,8,2,3,19,3,2,NA,1001,1,2,1,3,NA,1,2,2,2,4,7,1,1,0,0,1,0,0,0,0,1,3,0,2,2,4,2023-04-22,4,1,"Mujer/femenino","Urbano","La Paz","Grande (Más de 100,000 habitantes)","Indígena - originaria","No",NA,"Castellano/español","Solo castellano","Universitaria o superior no universitaria o educación técnica incompleta","Trabajando?","Casado"
