"macro_code","macro_name","member_code","member_status","english_name","endonym","iso_639_3_code","iso_639_2b_code","glottocode","wikidata_id","wikidata_description","n_speakers","endangerment","writing_systems","locales","cldr_official_status","in_linguameta"
"aka","Akan","fat","A","Fanti",NA,"fat",NA,"fant1241","Q35570",NA,1900000,NA,"Latn","GH",NA,TRUE
"aka","Akan","twi","A","Twi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ara","Arabic","aao","A","Algerian Saharan Arabic",NA,"aao",NA,"alge1240","Q56725",NA,310000,"Not endangered","Arab","DZ",NA,TRUE
"ara","Arabic","abh","A","Tajiki Arabic",NA,"abh",NA,"taji1248","Q56833","dialect of Arabic language",NA,"Definitely endangered","Arab","AF, TJ, UZ",NA,TRUE
"ara","Arabic","abv","A","Baharna Arabic","العربية البحرانية","abv",NA,"baha1259","Q56576",NA,730000,"Not endangered","Arab","BH",NA,TRUE
"ara","Arabic","acm","A","Mesopotamian Arabic","لهجة بلاد ما بين النهرين","acm",NA,"meso1252","Q56232","continuum of mutually-intelligible varieties of Arabic",1.7e+07,"Not endangered","Arab","IQ",NA,TRUE
"ara","Arabic","acq","A","Ta'izzi-Adeni Arabic","لهجة تعزية-عدنية","acq",NA,"taiz1242","Q56579","dialect of Arabic spoken primarily in the Republic of Yemen and the Republic of Djibouti",1.2e+07,"Not endangered","Arab","YE",NA,TRUE
"ara","Arabic","acw","A","Hijazi Arabic","حجازي","acw",NA,"hija1235","Q56608","variety of Arabic spoken in the Hejaz region of Saudi Arabia",1.1e+07,"Not endangered","Arab","SA",NA,TRUE
"ara","Arabic","acx","A","Omani Arabic","اللهجة العمانية","acx",NA,"oman1239","Q56630","variety of Peninsular Arabic spoken in Oman",3200000,"Not endangered","Arab","OM",NA,TRUE
"ara","Arabic","acy","A","Cypriot Arabic",NA,"acy",NA,"cypr1248","Q56416","moribund variety of Arabic spoken by the Maronite community of Cyprus.",NA,"Definitely endangered","Arab, Grek, Latn","CY",NA,TRUE
"ara","Arabic","adf","A","Dhofari Arabic",NA,"adf",NA,"dhof1235","Q56565",NA,130000,"Not endangered","Arab","OM",NA,TRUE
"ara","Arabic","aeb","A","Tunisian Arabic","Tounsi","aeb",NA,"tuni1259","Q56240","arabic dialect spoken in Tunisia",NA,"Not endangered","Arab, Latn","TN",NA,TRUE
"ara","Arabic","aec","A","Saidi Arabic","صعيدى","aec",NA,"said1239","Q56592","variety of Arabic spoken by the Ṣa‘īdi people south of Cairo, Egypt to the border of Sudan",2.5e+07,"Not endangered","Arab","EG",NA,TRUE
"ara","Arabic","afb","A","Gulf Arabic","خليجي","afb",NA,"gulf1241","Q56385","variety of the Arabic language spoken in Eastern Arabia around the coasts of the Persian Gulf",NA,"Not endangered",NA,NA,NA,TRUE
"ara","Arabic","ajp","R","South Levantine Arabic",NA,"ajp",NA,"sout3123","Q55633582","subdivision of Levantine Arabic",NA,"Not endangered",NA,NA,NA,TRUE
