Departamento,Provincia,Capital,Municipio,Cantón
Beni,Cercado,Trinidad,Trinidad,Trinidad
Beni,Cercado,Trinidad,San Javier,"San Javier, San Pedro"
Beni,Iténez,Magdalena,Magdalena,"Magdalena, Orobayaya"
Beni,Iténez,Magdalena,Baures,"Baures, Mategua"
Beni,Iténez,Magdalena,Huacaraje,"Huacaraje, El Carmen"
Beni,José Ballivián,Reyes,Reyes,"Reyes, Cavinas"
Beni,José Ballivián,Reyes,San Borja,San Borja
Beni,José Ballivián,Reyes,Santa Rosa,Santa Rosa
Beni,José Ballivián,Reyes,Rurrenabaque,Rurrenabaque
Beni,Mamoré,San Joaquín,San Joaquín,"San Joaquin, More"
Beni,Mamoré,San Joaquín,San Ramón,"San Ramón, Las Pampitas"
Beni,Mamoré,San Joaquín,Puerto Siles,"Puerto Siles, Alejandria, Vigo"
Beni,Marbán,Loreto,Loreto,"Loreto, Limoquije, Sachojere, San Antonio"
Beni,Marbán,Loreto,San Andrés,"San Andrés, Peroto"
Beni,Moxos,San Ignacio,San Ignacio,"San Ignacio, San Francisco, San Lorenzo"
Beni,Vaca Díez,Riberalta,Riberalta,"Riberalta, Concepción, Florida, Ivon"
Beni,Vaca Díez,Riberalta,Guayaramerín,"Guayaramerín, Villa Bella, Cachuela Esperanza, Yata"
Beni,Yacuma,Santa Ana,Santa Ana,"Santa Ana, José Agustín de Palacios"
Beni,Yacuma,Santa Ana,Exaltación,Exaltación
Chuquisaca,Azurduy,Azurduy,Villa Azurduy,"Azurduy, Antonio Lopez, Las Casas"
Chuquisaca,Azurduy,Azurduy,Tarvita,"Mariscal Braun, San Pedro, Tarvita"
Chuquisaca,Belisario Boeto,Villa Serrano,Villa Serrano,"Mendoza, Urriolagoitia, Villa Serrano"
Chuquisaca,Hernando Siles,Monteagudo,Monteagudo,"Monteagudo, San Juan del Pirai"
Chuquisaca,Hernando Siles,Monteagudo,Huacareta,"Añimbo, Huacareta, Rosario del Ingre"
Chuquisaca,Jaime Zudáñez,Zudáñez,Villa Zudáñez,Zudáñez
Chuquisaca,Jaime Zudáñez,Zudáñez,Icla,Icla
Chuquisaca,Jaime Zudáñez,Zudáñez,Presto,"Pasopaya, Presto, Rodeo"
Chuquisaca,Jaime Zudáñez,Zudáñez,Mojocoya,Mojocoya
Chuquisaca,Luis Calvo,Villa Vaca Guzmán,Villa Vaca Guzmán,"Iguembe, Sapirangui, Ticucha, Villa Vaca Guzmán"
Chuquisaca,Luis Calvo,Villa Vaca Guzmán,Macharetí,"Camatindi, Carandayti, Ivo, Macharetí, Ñancorainza, Tiguipa"
Chuquisaca,Luis Calvo,Villa Vaca Guzmán,Huacaya,"Boycobo, Huacaya, Santa Rosa"
Chuquisaca,Nor Cinti,Camargo,Camargo,"Camargo, Lintaca, Tacaquira"
Chuquisaca,Nor Cinti,Camargo,San Lucas,"Ajchilla, Chiñimayu, Kollpa, Ocuri, Payacota del Carmen, Pirhuani, San Lucas, Uruchini"
Chuquisaca,Nor Cinti,Camargo,Incahuasi,"Huajlaya, Incahuasi, Pucara de Yatina"
Chuquisaca,Nor Cinti,Camargo,Villa Charcas,"Villa Charcas, Santa Elena"
Chuquisaca,Oropeza,Sucre,Sucre,"Arabate, Chaunaca, Chuqui Chuqui, Huanifaya, Huata, La Palca, Mamahuasi, Maragua, Mojotoro, Potolo, Quila Quila, San Lazaro, San Sebastian, Sucre"
Chuquisaca,Oropeza,Sucre,Poroma,"Copavillkhi, Pojpo, Poroma, Sapse, Sijcha, Huañoma"
Chuquisaca,Oropeza,Sucre,Yotala,"Huayllas, Pulqui, Tuero, Yotala"
Chuquisaca,Sud Cinti,Villa Abecia,Culpina,"Culpina, El Palmar, La Cienega, La Loma, La Cueva, Pilaya, Salitre, San Francisco"
Chuquisaca,Sud Cinti,Villa Abecia,Las Carreras,"Impora, Las Carreras, La Torre, Lime, San Juan, Santa Rosa, Socpora, Taraya"
Chuquisaca,Sud Cinti,Villa Abecia,Camataqui,"Camataqui, Tarcana"
Chuquisaca,Tomina,Padilla,Padilla,Padilla
Chuquisaca,Tomina,Padilla,Tomina,Tomina
Chuquisaca,Tomina,Padilla,Sopachuy,Sopachuy
Chuquisaca,Tomina,Padilla,El Villar,"El Villar, Juana Azurduy de Padilla"
Chuquisaca,Tomina,Padilla,Villa Alcalá,Villa Alcalá
Chuquisaca,Yamparáez,Tarabuco,Tarabuco,"Tarabuco, Pajcha"
Chuquisaca,Yamparáez,Tarabuco,Yamparáez,"Yamparáez, Sotomayor"
Cochabamba,Arani,Arani,Arani,"Arani, Collpa, Pocoata"
Cochabamba,Arani,Arani,Vacas,Vacas
Cochabamba,Arque,Arque,Arque,"Arque, Colcha"
Cochabamba,Arque,Arque,Tacopaya,"Tacopaya, Ventilla"
Cochabamba,Ayopaya,Ayopaya or Independencia,Ayopaya,"Azopaza, Calchani, Icoza"
Cochabamba,Ayopaya,Ayopaya or Independencia,Morochata,"Chinchiri, Pucarani, Punacachi, Yayani"
Cochabamba,Ayopaya,Ayopaya or Independencia,Cocapata,"Choquecamata, Cocapata, Icari"
Cochabamba,Capinota,Capinota,Capinota,"Capinota, Chamoco, Tokho Halla, Villcabamba"
Cochabamba,Capinota,Capinota,Santiváñez,"Calera, Caporaya, Caraza, Chojtama, Huañacota, Poquera, Santiváñez"
Cochabamba,Capinota,Capinota,Sicaya,"Orcoma, Sicaya"
Cochabamba,Carrasco,Totora,Totora,"Arepucho, Icuna, Tiraque ""C"", Totora"
Cochabamba,Carrasco,Totora,Puerto Villarroel,"Ivirgarzama, Mariposas, Puerto Villarroel, Valle Ivirza"
Cochabamba,Carrasco,Totora,Pojo,"Chalguani, Chuquiomo, Duraznillo, Guarayos, Mamoré, Palca, Pojo, Real, Rodeo"
Cochabamba,Carrasco,Totora,Chimoré,Chimoré
Cochabamba,Carrasco,Totora,Pocona,"Chimboata, Chillicchi, Conda, Huayapacha, Pocona"
Cochabamba,Carrasco,Totora,Entre Ríos,Entre Ríos
Cochabamba,Cercado,Cochabamba,Cochabamba,Cochabamba
Cochabamba,Chapare,Sacaba,Sacaba,"Aguirre, Chiñata, Lava Lava, Quewiñapampa, Sacaba, Ucuchi"
Cochabamba,Chapare,Sacaba,Villa Tunari,"Mendoza, Paracti, Villa Tunari"
Cochabamba,Chapare,Sacaba,Colomi,"Candelaria, Colomi, San José, Tablas Monte"
Cochabamba,Esteban Arce,Tarata,Tarata,"Huayculi, Huasa Rancho, Izata, Tarata"
Cochabamba,Esteban Arce,Tarata,Anzaldo,"Anzaldo, La Viña, Quiriria"
Cochabamba,Esteban Arce,Tarata,Arbieto,"Arbieto, Aranjuez, Arpita"
Cochabamba,Esteban Arce,Tarata,Sacabamba,"Apillapa, Challaque, Matarani, Quekoma, Sacabamba"
Cochabamba,Germán Jordán,Cliza,Cliza,"Chullpas, Cliza, Huasacalle, Santa Lucía"
Cochabamba,Germán Jordán,Cliza,Toco,Toco
Cochabamba,Germán Jordán,Cliza,Tolata,Tolata
