raw,en,es
ethnic_group,--,--
Afroboliviano,Afroboliviano,Afroboliviano
Akarapis,Akarapis,Akarapis
Andamarca,Andamarca,Andamarca
Araona,Araona,Araona
Aroma,Aroma,Aroma
Ayllu Jila,Ayllu Jila,Ayllu Jila
Ayllu Jukumani,Ayllu Jukumani,Ayllu Jukumani
Ayllu Kacachaca,Ayllu Kacachaca,Ayllu Kacachaca
Ayllu Kharacha,Ayllu Kharacha,Ayllu Kharacha
Ayllu Porco,Ayllu Porco,Ayllu Porco
Ayllu Yura,Ayllu Yura,Ayllu Yura
Aymara,Aymara,Aymara
Ayoreo,Ayoreo,Ayoreo
Baure,Baure,Baure
Belén,Belén,Belén
Bésiro,Bésiro,Bésiro
Calcha,Calcha,Calcha
Canichana,Canichana,Canichana
Cavineño,Cavineño,Cavineño
Cayubaba,Cayubaba,Cayubaba
Chácobo,Chácobo,Chácobo
Challapata,Challapata,Challapata
Chané,Chané,Chané
Chaqui,Chaqui,Chaqui
Charagua,Charagua,Charagua
Charazani,Charazani,Charazani
Charka,Charka,Charka
Charka Qhara Qhara,Charka Qhara Qhara,Charka Qhara Qhara
Chayanta,Chayanta,Chayanta
Chichas,Chichas,Chichas
Chiquitano,Chiquitano,Chiquitano
Chiriguano,Chiriguano,Chiriguano
Choquecota,Choquecota,Choquecota
Chullpas,Chullpas,Chullpas
Chuwi,Chuwi,Chuwi
Condo,Condo,Condo
Coroma,Coroma,Coroma
Corque,Corque,Corque
Curahuara de Carangas,Curahuara de Carangas,Curahuara de Carangas
Ese Ejja,Ese Ejja,Ese Ejja
Guaraní,Guaraní,Guaraní
Guarasu´we,Guarasu´we,Guarasu´we
Gwarayu,Gwarayu,Gwarayu
Huachacalla,Huachacalla,Huachacalla
Huari,Huari,Huari
Huaylla Marka,Huaylla Marka,Huaylla Marka
Itonama,Itonama,Itonama
Jach'a Carangas,Jach'a Carangas,Jach'a Carangas
Jalq'a,Jalq'a,Jalq'a
Jatun Killacas,Jatun Killacas,Jatun Killacas
Javeriano,Javeriano,Javeriano
Jesús de Machaca,Jesús de Machaca,Jesús de Machaca
Joaquiniano,Joaquiniano,Joaquiniano
Kallawaya,Kallawaya,Kallawaya
Killacas,Killacas,Killacas
Lagunillas,Lagunillas,Lagunillas
