"macro_code","macro_name_sil","member_code","member_status","in_linguameta","member_name_linguameta","member_name_sil","member_endonym","member_n_speakers","member_endangerment","member_glottocode","names_differ"
"aka","Akan","fat","A",TRUE,"Fanti","Fanti",NA,1900000,NA,"fant1241",FALSE
"aka","Akan","twi","A",FALSE,NA,"Twi",NA,NA,NA,NA,NA
"ara","Arabic","aao","A",TRUE,"Algerian Saharan Arabic","Algerian Saharan Arabic",NA,310000,"Not endangered","alge1240",FALSE
"ara","Arabic","abh","A",TRUE,"Tajiki Arabic","Tajiki Arabic",NA,NA,"Definitely endangered","taji1248",FALSE
"ara","Arabic","abv","A",TRUE,"Baharna Arabic","Baharna Arabic","العربية البحرانية",730000,"Not endangered","baha1259",FALSE
"ara","Arabic","acm","A",TRUE,"Mesopotamian Arabic","Mesopotamian Arabic","لهجة بلاد ما بين النهرين",1.7e+07,"Not endangered","meso1252",FALSE
"ara","Arabic","acq","A",TRUE,"Ta'Izzi-Adeni Arabic","Ta'izzi-Adeni Arabic","لهجة تعزية-عدنية",1.2e+07,"Not endangered","taiz1242",TRUE
"ara","Arabic","acw","A",TRUE,"Hijazi Arabic","Hijazi Arabic","حجازي",1.1e+07,"Not endangered","hija1235",FALSE
"ara","Arabic","acx","A",TRUE,"Omani Arabic","Omani Arabic","اللهجة العمانية",3200000,"Not endangered","oman1239",FALSE
"ara","Arabic","acy","A",TRUE,"Cypriot Arabic","Cypriot Arabic",NA,NA,"Definitely endangered","cypr1248",FALSE
"ara","Arabic","adf","A",TRUE,"Dhofari Arabic","Dhofari Arabic",NA,130000,"Not endangered","dhof1235",FALSE
"ara","Arabic","aeb","A",TRUE,"Tunisian Arabic","Tunisian Arabic","Tounsi",NA,"Not endangered","tuni1259",FALSE
"ara","Arabic","aec","A",TRUE,"Saidi Arabic","Saidi Arabic","صعيدى",2.5e+07,"Not endangered","said1239",FALSE
"ara","Arabic","afb","A",TRUE,"Gulf Arabic","Gulf Arabic","خليجي",NA,"Not endangered","gulf1241",FALSE
"ara","Arabic","ajp","R",TRUE,"South Levantine Arabic","South Levantine Arabic",NA,NA,"Not endangered","sout3123",FALSE
"ara","Arabic","apc","A",TRUE,"North Levantine Arabic","Levantine Arabic","اللهجة الشامية",NA,"Not endangered","nort3139",TRUE
"ara","Arabic","apd","A",TRUE,"Sudanese Arabic","Sudanese Arabic","لهجة سودانية",3.7e+07,"Not endangered","suda1236",FALSE
"ara","Arabic","arb","A",TRUE,"Standard Arabic","Standard Arabic",NA,NA,"Not endangered","stan1318",FALSE
"ara","Arabic","arq","A",TRUE,"Algerian Arabic","Algerian Arabic","الدارجة الجزائرية",3.6e+07,"Not endangered","alge1239",FALSE
"ara","Arabic","ars","A",TRUE,"Najdi Arabic","Najdi Arabic",NA,1e+06,"Not endangered","najd1235",FALSE
"ara","Arabic","ary","A",TRUE,"Moroccan Arabic","Moroccan Arabic","الداريجة المغريبية",3.1e+07,"Not endangered","moro1292",FALSE
"ara","Arabic","arz","A",TRUE,"Egyptian Arabic","Egyptian Arabic","اللغه المصريه الحديثه",7.8e+07,"Not endangered","egyp1253",FALSE
"ara","Arabic","auz","A",TRUE,"Uzbeki Arabic","Uzbeki Arabic",NA,NA,"Definitely endangered","uzbe1248",FALSE
"ara","Arabic","avl","A",TRUE,"Eastern Egyptian Bedawi Arabic","Eastern Egyptian Bedawi Arabic",NA,2800000,"Not endangered","east2690",FALSE
"ara","Arabic","ayh","A",TRUE,"Hadrami Arabic","Hadrami Arabic",NA,5100000,"Not endangered","hadr1236",FALSE
"ara","Arabic","ayl","A",TRUE,"Libyan Arabic","Libyan Arabic","ليبي",5600000,"Not endangered","liby1240",FALSE
"ara","Arabic","ayn","A",TRUE,"Sanaani Arabic","Sanaani Arabic",NA,1.3e+07,"Not endangered","sana1295",FALSE
"ara","Arabic","ayp","A",TRUE,"North Mesopotamian Arabic","North Mesopotamian Arabic","لهجة موصلية",1e+07,"Not endangered","nort3142",FALSE
"ara","Arabic","bbz","R",FALSE,NA,"Babalia Creole Arabic",NA,NA,NA,NA,NA
"ara","Arabic","pga","A",TRUE,"Sudanese Creole Arabic","Sudanese Creole Arabic",NA,250000,"Not endangered","suda1237",FALSE
"ara","Arabic","shu","A",TRUE,"Chadian Arabic","Chadian Arabic","لهجة تشادية",2300000,"Not endangered","chad1249",FALSE
"ara","Arabic","ssh","A",TRUE,"Shihhi Arabic","Shihhi Arabic",NA,38000,"Not endangered","shih1239",FALSE
"aym","Aymara","ayc","A",TRUE,"Southern Aymara","Southern Aymara",NA,NA,"Not endangered","sout2996",FALSE
"aym","Aymara","ayr","A",TRUE,"Central Aymara","Central Aymara",NA,1700000,"Vulnerable","cent2142",FALSE
"aze","Azerbaijani","azb","A",TRUE,"South Azerbaijani","South Azerbaijani","تۆرکجه",2.4e+07,"Not endangered","sout2697",FALSE
"aze","Azerbaijani","azj","A",TRUE,"North Azerbaijani","North Azerbaijani",NA,2.4e+07,"Not endangered","nort2697",FALSE
"bal","Baluchi","bcc","A",TRUE,"Southern Balochi","Southern Balochi","بلوچی‎",3800000,"Not endangered","sout2642",FALSE
"bal","Baluchi","bgn","A",TRUE,"Western Balochi","Western Balochi","رخشانین بلوچی",1300000,"Not endangered","west2368",FALSE
"bal","Baluchi","bgp","A",TRUE,"Eastern Balochi","Eastern Balochi","بلوچی",1800000,"Not endangered","east2304",FALSE
"bik","Bikol","bcl","A",TRUE,"Central Bikol","Central Bikol","Bikol Sentral",2500000,"Not endangered","cent2087",FALSE
"bik","Bikol","bhk","R",FALSE,NA,"Albay Bicolano",NA,NA,NA,NA,NA
"bik","Bikol","bln","A",TRUE,"Southern Catanduanes Bikol","Southern Catanduanes Bikol",NA,140000,"Not endangered","sout2912",FALSE
"bik","Bikol","bto","A",TRUE,"Rinconada Bikol","Rinconada Bikol","Rinconada",310000,"Not endangered","irig1242",FALSE
"bik","Bikol","cts","A",TRUE,"Northern Catanduanes Bikol","Northern Catanduanes Bikol",NA,78000,"Not endangered","nort2883",FALSE
"bik","Bikol","fbl","A",TRUE,"West Albay Bikol","West Albay Bikol",NA,2500000,NA,NA,FALSE
"bik","Bikol","lbl","A",TRUE,"Libon Bikol","Libon Bikol",NA,NA,"Not endangered","libo1242",FALSE
"bik","Bikol","rbl","A",TRUE,"Miraya Bikol","Miraya Bikol",NA,3e+05,NA,NA,FALSE
"bik","Bikol","ubl","A",TRUE,"Buhi'Non Bikol","Buhi'non Bikol",NA,NA,"Not endangered","buhi1243",TRUE
"bnc","Bontok","ebk","A",TRUE,"Eastern Bontok","Eastern Bontok",NA,41000,NA,NA,FALSE
"bnc","Bontok","lbk","A",TRUE,"Central Bontok","Central Bontok",NA,20000,"Not endangered","cent2292",FALSE
"bnc","Bontok","obk","A",TRUE,"Southern Bontok","Southern Bontok",NA,NA,NA,NA,FALSE
"bnc","Bontok","rbk","A",TRUE,"Northern Bontok","Northern Bontok",NA,NA,NA,NA,FALSE
"bnc","Bontok","vbk","A",TRUE,"Southwestern Bontok","Southwestern Bontok",NA,NA,NA,NA,FALSE
"bua","Buriat","bxm","A",TRUE,"Mongolia Buriat","Mongolia Buriat",NA,NA,"Vulnerable","mong1330",FALSE
"bua","Buriat","bxr","A",TRUE,"Russia Buriat","Russia Buriat","Буряад хэлэн",NA,"Definitely endangered","russ1264",FALSE
"bua","Buriat","bxu","A",TRUE,"China Buriat","China Buriat",NA,NA,"Vulnerable","chin1476",FALSE
"chm","Mari (Russia)","mhr","A",TRUE,"Eastern Mari","Eastern Mari","олык марий",470000,"Vulnerable","east2328",FALSE
"chm","Mari (Russia)","mrj","A",TRUE,"Western Mari","Western Mari","Мары йӹлмӹ",30000,"Vulnerable","west2392",FALSE
"cre","Cree","crj","A",TRUE,"Southern East Cree","Southern East Cree",NA,13000,"Vulnerable","sout2978",FALSE
"cre","Cree","crk","A",TRUE,"Plains Cree","Plains Cree",NA,4100,"Severely endangered","plai1258",FALSE
"cre","Cree","crl","A",TRUE,"Northern East Cree","Northern East Cree",NA,380,"Vulnerable","nort1552",FALSE
"cre","Cree","crm","A",TRUE,"Moose Cree","Moose Cree",NA,3000,"Vulnerable","moos1236",FALSE
"cre","Cree","csw","A",TRUE,"Swampy Cree","Swampy Cree",NA,1800,"Vulnerable","swam1239",FALSE
"cre","Cree","cwd","A",TRUE,"Woods Cree","Woods Cree",NA,35000,"Vulnerable","wood1236",FALSE
"del","Delaware","umu","A",TRUE,"Munsee","Munsee",NA,2,"Critically endangered","muns1251",FALSE
"del","Delaware","unm","A",TRUE,"Unami","Unami",NA,0,"Extinct","unam1242",FALSE
"den","Slave (Athapascan)","scs","A",TRUE,"North Slavey","North Slavey",NA,2100,"Definitely endangered","nort2942",FALSE
