"macro_code","macro_name","macro_n_speakers","macro_endangerment","member_code","member_name","member_endonym","member_n_speakers","member_endangerment","glottocode","wikidata_id","status","iso_639_3"
"aka",NA,NA,NA,"fat","Fanti",NA,1900000,NA,"fant1241","Q35570","A","fat"
"aka",NA,NA,NA,"twi",NA,NA,NA,NA,NA,NA,"A",NA
"ara",NA,NA,NA,"aao","Algerian Saharan Arabic",NA,310000,"Not endangered","alge1240","Q56725","A","aao"
"ara",NA,NA,NA,"abh","Tajiki Arabic",NA,NA,"Definitely endangered","taji1248","Q56833","A","abh"
"ara",NA,NA,NA,"abv","Baharna Arabic","العربية البحرانية",730000,"Not endangered","baha1259","Q56576","A","abv"
"ara",NA,NA,NA,"acm","Mesopotamian Arabic","لهجة بلاد ما بين النهرين",1.7e+07,"Not endangered","meso1252","Q56232","A","acm"
"ara",NA,NA,NA,"acq","Ta'Izzi-Adeni Arabic","لهجة تعزية-عدنية",1.2e+07,"Not endangered","taiz1242","Q56579","A","acq"
"ara",NA,NA,NA,"acw","Hijazi Arabic","حجازي",1.1e+07,"Not endangered","hija1235","Q56608","A","acw"
"ara",NA,NA,NA,"acx","Omani Arabic","اللهجة العمانية",3200000,"Not endangered","oman1239","Q56630","A","acx"
"ara",NA,NA,NA,"acy","Cypriot Arabic",NA,NA,"Definitely endangered","cypr1248","Q56416","A","acy"
"ara",NA,NA,NA,"adf","Dhofari Arabic",NA,130000,"Not endangered","dhof1235","Q56565","A","adf"
"ara",NA,NA,NA,"aeb","Tunisian Arabic","Tounsi",NA,"Not endangered","tuni1259","Q56240","A","aeb"
"ara",NA,NA,NA,"aec","Saidi Arabic","صعيدى",2.5e+07,"Not endangered","said1239","Q56592","A","aec"
"ara",NA,NA,NA,"afb","Gulf Arabic","خليجي",NA,"Not endangered","gulf1241","Q56385","A","afb"
"ara",NA,NA,NA,"ajp","South Levantine Arabic",NA,NA,"Not endangered","sout3123","Q55633582","R","ajp"
