"municipality","department","muni_anexo","file","size_kb"
"Baures","Beni","Baures","output/locator_maps/workbench_hd_3/Baures_muni_locator_map.svg",7518.3
"Exaltación","Beni","Exaltación","output/locator_maps/workbench_hd_3/Exaltacion_muni_locator_map.svg",7517.2
"Guayaramerín","Beni","Guayaramerín","output/locator_maps/workbench_hd_3/Guayaramerin_muni_locator_map.svg",7518.7
"Huacaraje","Beni","Huacaraje","output/locator_maps/workbench_hd_3/Huacaraje_muni_locator_map.svg",7515
"Loreto","Beni","Loreto","output/locator_maps/workbench_hd_3/Loreto_muni_locator_map.svg",7516.9
"Magdalena","Beni","Magdalena","output/locator_maps/workbench_hd_3/Magdalena_muni_locator_map.svg",7517.9
"Puerto Menor de Rurrenabaque","Beni","Rurrenabaque","output/locator_maps/workbench_hd_3/Rurrenabaque_muni_locator_map.svg",7515.9
"Puerto Siles","Beni","Puerto Siles","output/locator_maps/workbench_hd_3/Puerto_Siles_muni_locator_map.svg",7516.3
"Reyes","Beni","Reyes","output/locator_maps/workbench_hd_3/Reyes_muni_locator_map.svg",7522.1
"Riberalta","Beni","Riberalta","output/locator_maps/workbench_hd_3/Riberalta_muni_locator_map.svg",7519.4
"San Andrés","Beni","San Andrés","output/locator_maps/workbench_hd_3/San_Andres_muni_locator_map.svg",7517.1
"San Borja","Beni","San Borja","output/locator_maps/workbench_hd_3/San_Borja_muni_locator_map.svg",7515.9
"San Ignacio","Beni","San Ignacio de Moxos","output/locator_maps/workbench_hd_3/San_Ignacio_de_Moxos_muni_locator_map.svg",7520.7
"San Javier","Beni","San Javier","output/locator_maps/workbench_hd_3/San_Javier_(Beni)_muni_locator_map.svg",7515.8
"San Joaquín","Beni","San Joaquín","output/locator_maps/workbench_hd_3/San_Joaquin_muni_locator_map.svg",7521
"San Ramón","Beni","San Ramón","output/locator_maps/workbench_hd_3/San_Ramon_(Beni)_muni_locator_map.svg",7518.2
"Santa Ana","Beni","Santa Ana del Yacuma","output/locator_maps/workbench_hd_3/Santa_Ana_del_Yacuma_muni_locator_map.svg",7517.7
"Santa Rosa","Beni","Santa Rosa","output/locator_maps/workbench_hd_3/Santa_Rosa_muni_locator_map.svg",7518.1
"Trinidad","Beni","Trinidad","output/locator_maps/workbench_hd_3/Trinidad_muni_locator_map.svg",7515
"Alcalá","Chuquisaca","Villa Alcalá","output/locator_maps/workbench_hd_3/Villa_Alcala_muni_locator_map.svg",7514.9
"Azurduy","Chuquisaca","Azurduy","output/locator_maps/workbench_hd_3/Azurduy_muni_locator_map.svg",7516.1
"Camargo","Chuquisaca","Camargo","output/locator_maps/workbench_hd_3/Camargo_muni_locator_map.svg",7516
"Culpina","Chuquisaca","Culpina","output/locator_maps/workbench_hd_3/Culpina_muni_locator_map.svg",7517.7
"El Villar","Chuquisaca","El Villar","output/locator_maps/workbench_hd_3/El_Villar_muni_locator_map.svg",7515.3
"Huacareta","Chuquisaca","Huacareta","output/locator_maps/workbench_hd_3/Huacareta_muni_locator_map.svg",7516.3
"Huacaya","Chuquisaca","Huacaya","output/locator_maps/workbench_hd_3/Huacaya_muni_locator_map.svg",7515.3
"Incahuasi","Chuquisaca","Incahuasi","output/locator_maps/workbench_hd_3/Incahuasi_muni_locator_map.svg",7515.9
"Las Carreras","Chuquisaca","Las Carreras","output/locator_maps/workbench_hd_3/Las_Carreras_muni_locator_map.svg",7515.3
"Macharetí","Chuquisaca","Macharetí","output/locator_maps/workbench_hd_3/Machareti_muni_locator_map.svg",7515.1
"Mojocoya","Chuquisaca","Villa Mojocoya","output/locator_maps/workbench_hd_3/Villa_Mojocoya_muni_locator_map.svg",7515.4
"Monteagudo","Chuquisaca","Monteagudo","output/locator_maps/workbench_hd_3/Monteagudo_muni_locator_map.svg",7517.3
"Padilla","Chuquisaca","Padilla","output/locator_maps/workbench_hd_3/Padilla_muni_locator_map.svg",7516
"Poroma","Chuquisaca","Poroma","output/locator_maps/workbench_hd_3/Poroma_muni_locator_map.svg",7516.2
"Presto","Chuquisaca","Presto","output/locator_maps/workbench_hd_3/Presto_muni_locator_map.svg",7515.6
"San Lucas","Chuquisaca","San Lucas","output/locator_maps/workbench_hd_3/San_Lucas_muni_locator_map.svg",7517.2
"Sopachui","Chuquisaca","Sopachuy","output/locator_maps/workbench_hd_3/Sopachuy_muni_locator_map.svg",7515.1
"Sucre","Chuquisaca","Sucre","output/locator_maps/workbench_hd_3/Sucre_muni_locator_map.svg",7516.7
"Tarabuco","Chuquisaca","Tarabuco","output/locator_maps/workbench_hd_3/Tarabuco_muni_locator_map.svg",7515.7
"Tarvita","Chuquisaca","Tarvita","output/locator_maps/workbench_hd_3/Tarvita_muni_locator_map.svg",7515.6
"Tomina","Chuquisaca","Tomina","output/locator_maps/workbench_hd_3/Tomina_muni_locator_map.svg",7515.4
"Villa Abecia","Chuquisaca","Villa Abecia","output/locator_maps/workbench_hd_3/Villa_Abecia_muni_locator_map.svg",7515.2
"Villa Charcas","Chuquisaca","Villa Charcas","output/locator_maps/workbench_hd_3/Villa_Charcas_muni_locator_map.svg",7515.2
"Villa Ricardo Mugia - Icla","Chuquisaca","Icla","output/locator_maps/workbench_hd_3/Icla_muni_locator_map.svg",7515.1
"Villa Serrano","Chuquisaca","Villa Serrano","output/locator_maps/workbench_hd_3/Villa_Serrano_muni_locator_map.svg",7515.9
"Villa Vaca Guzmán","Chuquisaca","Villa Vaca Guzmán","output/locator_maps/workbench_hd_3/Villa_Vaca_Guzman_muni_locator_map.svg",7517.6
"Yamparáez","Chuquisaca","Yamparáez","output/locator_maps/workbench_hd_3/Yamparaez_muni_locator_map.svg",7515.2
"Yotala","Chuquisaca","Yotala","output/locator_maps/workbench_hd_3/Yotala_muni_locator_map.svg",7514.9
"Zudañez","Chuquisaca","Villa Zudáñez","output/locator_maps/workbench_hd_3/Villa_Zudanez_muni_locator_map.svg",7515
"Aiquile","Cochabamba","Aiquile","output/locator_maps/workbench_hd_3/Aiquile_muni_locator_map.svg",7516.6
"Alalay","Cochabamba","Alalay","output/locator_maps/workbench_hd_3/Alalay_muni_locator_map.svg",7514.9
"Anzaldo","Cochabamba","Anzaldo","output/locator_maps/workbench_hd_3/Anzaldo_muni_locator_map.svg",7515.2
"Arani","Cochabamba","Arani","output/locator_maps/workbench_hd_3/Arani_muni_locator_map.svg",7514.5
"Arbieto","Cochabamba","Arbieto","output/locator_maps/workbench_hd_3/Arbieto_muni_locator_map.svg",7514.7
"Arque","Cochabamba","Arque","output/locator_maps/workbench_hd_3/Arque_muni_locator_map.svg",7515.1
"Ayopaya","Cochabamba","Independencia","output/locator_maps/workbench_hd_3/Independencia_muni_locator_map.svg",7515.7
"Bolivar","Cochabamba","Bolívar","output/locator_maps/workbench_hd_3/Bolivar_muni_locator_map.svg",7514.9
"Capinota","Cochabamba","Capinota","output/locator_maps/workbench_hd_3/Capinota_muni_locator_map.svg",7515.1
"Chimoré","Cochabamba","Chimoré","output/locator_maps/workbench_hd_3/Chimore_muni_locator_map.svg",7520
"Cliza","Cochabamba","Cliza","output/locator_maps/workbench_hd_3/Cliza_muni_locator_map.svg",7514.4
"Cocapata","Cochabamba","Cocapata","output/locator_maps/workbench_hd_3/Cocapata_muni_locator_map.svg",7517.3
"Cochabamba","Cochabamba","Cochabamba","output/locator_maps/workbench_hd_3/Cochabamba_muni_locator_map.svg",7514.7
"Colcapirhua","Cochabamba","Colcapirhua","output/locator_maps/workbench_hd_3/Colcapirhua_muni_locator_map.svg",7514.2
"Colomi","Cochabamba","Colomi","output/locator_maps/workbench_hd_3/Colomi_muni_locator_map.svg",7515
"Entre Ríos","Cochabamba","Entre Ríos","output/locator_maps/workbench_hd_3/Entre_Rios_(Cochabamba)_muni_locator_map.svg",7516.9
"Mizque","Cochabamba","Mizque","output/locator_maps/workbench_hd_3/Mizque_muni_locator_map.svg",7516.1
"Morochata","Cochabamba","Morochata","output/locator_maps/workbench_hd_3/Morochata_muni_locator_map.svg",7515.1
"Omereque","Cochabamba","Omereque","output/locator_maps/workbench_hd_3/Omereque_muni_locator_map.svg",7515.3
"Pasorapa","Cochabamba","Pasorapa","output/locator_maps/workbench_hd_3/Pasorapa_muni_locator_map.svg",7516.2
"Pocona","Cochabamba","Pocona","output/locator_maps/workbench_hd_3/Pocona_muni_locator_map.svg",7515.8
"Pojo","Cochabamba","Pojo","output/locator_maps/workbench_hd_3/Pojo_muni_locator_map.svg",7516
"Puerto Villarroel","Cochabamba","Puerto Villarroel","output/locator_maps/workbench_hd_3/Puerto_Villarroel_muni_locator_map.svg",7516.7
"Punata","Cochabamba","Punata","output/locator_maps/workbench_hd_3/Punata_muni_locator_map.svg",7514.4
"Quillacollo","Cochabamba","Quillacollo","output/locator_maps/workbench_hd_3/Quillacollo_muni_locator_map.svg",7515.1
"Sacaba","Cochabamba","Sacaba","output/locator_maps/workbench_hd_3/Sacaba_muni_locator_map.svg",7515.4
"Sacabamba","Cochabamba","Sacabamba","output/locator_maps/workbench_hd_3/Sacabamba_muni_locator_map.svg",7514.7
"San Benito","Cochabamba","San Benito","output/locator_maps/workbench_hd_3/San_Benito_muni_locator_map.svg",7514.5
"Santivañez","Cochabamba","Santiváñez","output/locator_maps/workbench_hd_3/Santivanez_muni_locator_map.svg",7514.7
"Shinahota","Cochabamba","Shinahota","output/locator_maps/workbench_hd_3/Shinahota_muni_locator_map.svg",7515.2
"Sicaya","Cochabamba","Sicaya","output/locator_maps/workbench_hd_3/Sicaya_muni_locator_map.svg",7514.5
"Sipesipe","Cochabamba","Sipe Sipe","output/locator_maps/workbench_hd_3/Sipe_Sipe_muni_locator_map.svg",7515.4
"Tacachi","Cochabamba","Tacachi","output/locator_maps/workbench_hd_3/Tacachi_muni_locator_map.svg",7514.2
"Tacopaya","Cochabamba","Tacopaya","output/locator_maps/workbench_hd_3/Tacopaya_muni_locator_map.svg",7514.9
"Tapacarí","Cochabamba","Tapacarí","output/locator_maps/workbench_hd_3/Tapacari_muni_locator_map.svg",7515.9
"Tarata","Cochabamba","Tarata","output/locator_maps/workbench_hd_3/Tarata_muni_locator_map.svg",7514.8
"Tiquipaya","Cochabamba","Tiquipaya","output/locator_maps/workbench_hd_3/Tiquipaya_muni_locator_map.svg",7514.9
"Tiraque","Cochabamba","Tiraque","output/locator_maps/workbench_hd_3/Tiraque_muni_locator_map.svg",7515.7
"Toco","Cochabamba","Toco","output/locator_maps/workbench_hd_3/Toco_muni_locator_map.svg",7514.4
"Tolata","Cochabamba","Tolata","output/locator_maps/workbench_hd_3/Tolata_muni_locator_map.svg",7514.4
"Totora","Cochabamba","Totora","output/locator_maps/workbench_hd_3/Totora_(Cochabamba)_muni_locator_map.svg",7516.5
"Vacas","Cochabamba","Vacas","output/locator_maps/workbench_hd_3/Vacas_muni_locator_map.svg",7514.8
"Vila Vila","Cochabamba","Vila Vila","output/locator_maps/workbench_hd_3/Vila_Vila_muni_locator_map.svg",7515.1
"Villa Gualberto Villarroel","Cochabamba","Cuchumuela","output/locator_maps/workbench_hd_3/Cuchumuela_muni_locator_map.svg",7514.4
"Villa Rivero","Cochabamba","Villa Rivero","output/locator_maps/workbench_hd_3/Villa_Rivero_muni_locator_map.svg",7514.5
"Villa Tunari","Cochabamba","Villa Tunari","output/locator_maps/workbench_hd_3/Villa_Tunari_muni_locator_map.svg",7519.1
"Vinto","Cochabamba","Vinto","output/locator_maps/workbench_hd_3/Vinto_muni_locator_map.svg",7514.5
"Achacachi","La Paz","Achacachi","output/locator_maps/workbench_hd_3/Achacachi_muni_locator_map.svg",7515.4
"Achocalla","La Paz","Achocalla","output/locator_maps/workbench_hd_3/Achocalla_muni_locator_map.svg",7514.6
"Alto Beni","La Paz","Alto Beni","output/locator_maps/workbench_hd_3/Alto_Beni_muni_locator_map.svg",7515.5
"Apolo","La Paz","Apolo","output/locator_maps/workbench_hd_3/Apolo_muni_locator_map.svg",7519.4
"Aucapata","La Paz","Aucapata","output/locator_maps/workbench_hd_3/Aucapata_muni_locator_map.svg",7514.5
