"municipality","department","muni_anexo","file","size_kb"
"Baures","Beni","Baures","output/locator_maps/muni-maps-final/Baures_muni_locator_map.svg",2837.4
"Exaltación","Beni","Exaltación","output/locator_maps/muni-maps-final/Exaltacion_muni_locator_map.svg",2837.4
"Guayaramerín","Beni","Guayaramerín","output/locator_maps/muni-maps-final/Guayaramerin_muni_locator_map.svg",2837.4
"Huacaraje","Beni","Huacaraje","output/locator_maps/muni-maps-final/Huacaraje_muni_locator_map.svg",2837.4
"Loreto","Beni","Loreto","output/locator_maps/muni-maps-final/Loreto_muni_locator_map.svg",2837.4
"Magdalena","Beni","Magdalena","output/locator_maps/muni-maps-final/Magdalena_muni_locator_map.svg",2837.4
"Puerto Menor de Rurrenabaque","Beni","Rurrenabaque","output/locator_maps/muni-maps-final/Rurrenabaque_muni_locator_map.svg",2837.4
"Puerto Siles","Beni","Puerto Siles","output/locator_maps/muni-maps-final/Puerto_Siles_muni_locator_map.svg",2837.4
"Reyes","Beni","Reyes","output/locator_maps/muni-maps-final/Reyes_muni_locator_map.svg",2837.4
"Riberalta","Beni","Riberalta","output/locator_maps/muni-maps-final/Riberalta_muni_locator_map.svg",2837.4
"San Andrés","Beni","San Andrés","output/locator_maps/muni-maps-final/San_Andres_muni_locator_map.svg",2837.4
"San Borja","Beni","San Borja","output/locator_maps/muni-maps-final/San_Borja_muni_locator_map.svg",2837.4
"San Ignacio","Beni","San Ignacio de Moxos","output/locator_maps/muni-maps-final/San_Ignacio_de_Moxos_muni_locator_map.svg",2837.4
"San Javier","Beni","San Javier","output/locator_maps/muni-maps-final/San_Javier_(Beni)_muni_locator_map.svg",2837.4
"San Joaquín","Beni","San Joaquín","output/locator_maps/muni-maps-final/San_Joaquin_muni_locator_map.svg",2837.4
"San Ramón","Beni","San Ramón","output/locator_maps/muni-maps-final/San_Ramon_(Beni)_muni_locator_map.svg",2837.4
"Santa Ana","Beni","Santa Ana del Yacuma","output/locator_maps/muni-maps-final/Santa_Ana_del_Yacuma_muni_locator_map.svg",2837.4
"Santa Rosa","Beni","Santa Rosa","output/locator_maps/muni-maps-final/Santa_Rosa_muni_locator_map.svg",2837.4
"Trinidad","Beni","Trinidad","output/locator_maps/muni-maps-final/Trinidad_muni_locator_map.svg",2837.4
"Alcalá","Chuquisaca","Villa Alcalá","output/locator_maps/muni-maps-final/Villa_Alcala_muni_locator_map.svg",2837.4
"Azurduy","Chuquisaca","Azurduy","output/locator_maps/muni-maps-final/Azurduy_muni_locator_map.svg",2837.4
"Camargo","Chuquisaca","Camargo","output/locator_maps/muni-maps-final/Camargo_muni_locator_map.svg",2837.4
"Culpina","Chuquisaca","Culpina","output/locator_maps/muni-maps-final/Culpina_muni_locator_map.svg",2837.4
"El Villar","Chuquisaca","El Villar","output/locator_maps/muni-maps-final/El_Villar_muni_locator_map.svg",2837.4
"Huacareta","Chuquisaca","Huacareta","output/locator_maps/muni-maps-final/Huacareta_muni_locator_map.svg",2837.4
"Huacaya","Chuquisaca","Huacaya","output/locator_maps/muni-maps-final/Huacaya_muni_locator_map.svg",2837.4
"Incahuasi","Chuquisaca","Incahuasi","output/locator_maps/muni-maps-final/Incahuasi_muni_locator_map.svg",2837.4
"Las Carreras","Chuquisaca","Las Carreras","output/locator_maps/muni-maps-final/Las_Carreras_muni_locator_map.svg",2837.4
"Macharetí","Chuquisaca","Macharetí","output/locator_maps/muni-maps-final/Machareti_muni_locator_map.svg",2837.4
"Mojocoya","Chuquisaca","Villa Mojocoya","output/locator_maps/muni-maps-final/Villa_Mojocoya_muni_locator_map.svg",2837.4
"Monteagudo","Chuquisaca","Monteagudo","output/locator_maps/muni-maps-final/Monteagudo_muni_locator_map.svg",2837.4
"Padilla","Chuquisaca","Padilla","output/locator_maps/muni-maps-final/Padilla_muni_locator_map.svg",2837.4
"Poroma","Chuquisaca","Poroma","output/locator_maps/muni-maps-final/Poroma_muni_locator_map.svg",2837.4
"Presto","Chuquisaca","Presto","output/locator_maps/muni-maps-final/Presto_muni_locator_map.svg",2837.4
"San Lucas","Chuquisaca","San Lucas","output/locator_maps/muni-maps-final/San_Lucas_muni_locator_map.svg",2837.4
"Sopachui","Chuquisaca","Sopachuy","output/locator_maps/muni-maps-final/Sopachuy_muni_locator_map.svg",2837.4
"Sucre","Chuquisaca","Sucre","output/locator_maps/muni-maps-final/Sucre_muni_locator_map.svg",2837.4
"Tarabuco","Chuquisaca","Tarabuco","output/locator_maps/muni-maps-final/Tarabuco_muni_locator_map.svg",2837.4
"Tarvita","Chuquisaca","Tarvita","output/locator_maps/muni-maps-final/Tarvita_muni_locator_map.svg",2837.4
"Tomina","Chuquisaca","Tomina","output/locator_maps/muni-maps-final/Tomina_muni_locator_map.svg",2837.4
"Villa Abecia","Chuquisaca","Villa Abecia","output/locator_maps/muni-maps-final/Villa_Abecia_muni_locator_map.svg",2837.4
"Villa Charcas","Chuquisaca","Villa Charcas","output/locator_maps/muni-maps-final/Villa_Charcas_muni_locator_map.svg",2837.4
"Villa Ricardo Mugia - Icla","Chuquisaca","Icla","output/locator_maps/muni-maps-final/Icla_muni_locator_map.svg",2837.4
"Villa Serrano","Chuquisaca","Villa Serrano","output/locator_maps/muni-maps-final/Villa_Serrano_muni_locator_map.svg",2837.4
"Villa Vaca Guzmán","Chuquisaca","Villa Vaca Guzmán","output/locator_maps/muni-maps-final/Villa_Vaca_Guzman_muni_locator_map.svg",2837.4
"Yamparáez","Chuquisaca","Yamparáez","output/locator_maps/muni-maps-final/Yamparaez_muni_locator_map.svg",2837.4
"Yotala","Chuquisaca","Yotala","output/locator_maps/muni-maps-final/Yotala_muni_locator_map.svg",2837.4
"Zudañez","Chuquisaca","Villa Zudáñez","output/locator_maps/muni-maps-final/Villa_Zudanez_muni_locator_map.svg",2837.4
"Aiquile","Cochabamba","Aiquile","output/locator_maps/muni-maps-final/Aiquile_muni_locator_map.svg",2837.4
"Alalay","Cochabamba","Alalay","output/locator_maps/muni-maps-final/Alalay_muni_locator_map.svg",2837.4
"Anzaldo","Cochabamba","Anzaldo","output/locator_maps/muni-maps-final/Anzaldo_muni_locator_map.svg",2837.4
"Arani","Cochabamba","Arani","output/locator_maps/muni-maps-final/Arani_muni_locator_map.svg",2837.4
"Arbieto","Cochabamba","Arbieto","output/locator_maps/muni-maps-final/Arbieto_muni_locator_map.svg",2837.4
"Arque","Cochabamba","Arque","output/locator_maps/muni-maps-final/Arque_muni_locator_map.svg",2837.4
"Ayopaya","Cochabamba","Independencia","output/locator_maps/muni-maps-final/Independencia_muni_locator_map.svg",2837.4
"Bolivar","Cochabamba","Bolívar","output/locator_maps/muni-maps-final/Bolivar_muni_locator_map.svg",2837.4
"Capinota","Cochabamba","Capinota","output/locator_maps/muni-maps-final/Capinota_muni_locator_map.svg",2837.4
"Chimoré","Cochabamba","Chimoré","output/locator_maps/muni-maps-final/Chimore_muni_locator_map.svg",2837.4
"Cliza","Cochabamba","Cliza","output/locator_maps/muni-maps-final/Cliza_muni_locator_map.svg",2837.4
"Cocapata","Cochabamba","Cocapata","output/locator_maps/muni-maps-final/Cocapata_muni_locator_map.svg",2837.4
"Cochabamba","Cochabamba","Cochabamba","output/locator_maps/muni-maps-final/Cochabamba_muni_locator_map.svg",2837.4
"Colcapirhua","Cochabamba","Colcapirhua","output/locator_maps/muni-maps-final/Colcapirhua_muni_locator_map.svg",2837.4
"Colomi","Cochabamba","Colomi","output/locator_maps/muni-maps-final/Colomi_muni_locator_map.svg",2837.4
"Entre Ríos","Cochabamba","Entre Ríos","output/locator_maps/muni-maps-final/Entre_Rios_(Cochabamba)_muni_locator_map.svg",2837.4
"Mizque","Cochabamba","Mizque","output/locator_maps/muni-maps-final/Mizque_muni_locator_map.svg",2837.4
"Morochata","Cochabamba","Morochata","output/locator_maps/muni-maps-final/Morochata_muni_locator_map.svg",2837.4
"Omereque","Cochabamba","Omereque","output/locator_maps/muni-maps-final/Omereque_muni_locator_map.svg",2837.4
"Pasorapa","Cochabamba","Pasorapa","output/locator_maps/muni-maps-final/Pasorapa_muni_locator_map.svg",2837.4
"Pocona","Cochabamba","Pocona","output/locator_maps/muni-maps-final/Pocona_muni_locator_map.svg",2837.4
"Pojo","Cochabamba","Pojo","output/locator_maps/muni-maps-final/Pojo_muni_locator_map.svg",2837.4
"Puerto Villarroel","Cochabamba","Puerto Villarroel","output/locator_maps/muni-maps-final/Puerto_Villarroel_muni_locator_map.svg",2837.4
"Punata","Cochabamba","Punata","output/locator_maps/muni-maps-final/Punata_muni_locator_map.svg",2837.4
"Quillacollo","Cochabamba","Quillacollo","output/locator_maps/muni-maps-final/Quillacollo_muni_locator_map.svg",2837.4
"Sacaba","Cochabamba","Sacaba","output/locator_maps/muni-maps-final/Sacaba_muni_locator_map.svg",2837.4
"Sacabamba","Cochabamba","Sacabamba","output/locator_maps/muni-maps-final/Sacabamba_muni_locator_map.svg",2837.4
"San Benito","Cochabamba","San Benito","output/locator_maps/muni-maps-final/San_Benito_muni_locator_map.svg",2837.4
"Santivañez","Cochabamba","Santiváñez","output/locator_maps/muni-maps-final/Santivanez_muni_locator_map.svg",2837.4
"Shinahota","Cochabamba","Shinahota","output/locator_maps/muni-maps-final/Shinahota_muni_locator_map.svg",2837.4
"Sicaya","Cochabamba","Sicaya","output/locator_maps/muni-maps-final/Sicaya_muni_locator_map.svg",2837.4
"Sipesipe","Cochabamba","Sipe Sipe","output/locator_maps/muni-maps-final/Sipe_Sipe_muni_locator_map.svg",2837.4
"Tacachi","Cochabamba","Tacachi","output/locator_maps/muni-maps-final/Tacachi_muni_locator_map.svg",2837.4
"Tacopaya","Cochabamba","Tacopaya","output/locator_maps/muni-maps-final/Tacopaya_muni_locator_map.svg",2837.4
"Tapacarí","Cochabamba","Tapacarí","output/locator_maps/muni-maps-final/Tapacari_muni_locator_map.svg",2837.4
"Tarata","Cochabamba","Tarata","output/locator_maps/muni-maps-final/Tarata_muni_locator_map.svg",2837.4
