"municipality","department","muni_anexo","file","size_kb","id_muni","qid","muni_gadm","commons_filename","commons_url","mid","upload_date","status"
"Villa Alcalá","Chuquisaca","Villa Alcalá","output/locator_maps/muni-maps-final/Villa_Alcala_muni_locator_map.svg",2837.4,"010404","Q955703","Alcalá","Villa Alcalá muni locator map.svg","https://commons.wikimedia.org/wiki/File:Villa_Alcalá_muni_locator_map.svg",NA,NA,"already_exists"
"Azurduy","Chuquisaca","Azurduy","output/locator_maps/muni-maps-final/Azurduy_muni_locator_map.svg",2837.4,"010201","Q1585034","Azurduy","Azurduy muni locator map.svg","https://commons.wikimedia.org/wiki/File:Azurduy_muni_locator_map.svg","M192028869","2026-05-15","uploaded"
"Camargo","Chuquisaca","Camargo","output/locator_maps/muni-maps-final/Camargo_muni_locator_map.svg",2837.4,"010701","Q1141966","Camargo","Camargo muni locator map.svg","https://commons.wikimedia.org/wiki/File:Camargo_muni_locator_map.svg","M192028879","2026-05-15","uploaded"
"Culpina","Chuquisaca","Culpina","output/locator_maps/muni-maps-final/Culpina_muni_locator_map.svg",2837.4,"010902","Q586565","Culpina","Culpina muni locator map.svg","https://commons.wikimedia.org/wiki/File:Culpina_muni_locator_map.svg","M192028889","2026-05-15","uploaded"
"El Villar","Chuquisaca","El Villar","output/locator_maps/muni-maps-final/El_Villar_muni_locator_map.svg",2837.4,"010405","Q1142208","El Villar","El Villar muni locator map.svg","https://commons.wikimedia.org/wiki/File:El_Villar_muni_locator_map.svg","M192028908","2026-05-15","uploaded"
"Huacareta","Chuquisaca","Huacareta","output/locator_maps/muni-maps-final/Huacareta_muni_locator_map.svg",2837.4,"010502","Q1142195","Huacareta","Huacareta muni locator map.svg","https://commons.wikimedia.org/wiki/File:Huacareta_muni_locator_map.svg","M192028925","2026-05-15","uploaded"
"Huacaya","Chuquisaca","Huacaya","output/locator_maps/muni-maps-final/Huacaya_muni_locator_map.svg",2837.4,"011002","Q1141996","Huacaya","Huacaya muni locator map.svg","https://commons.wikimedia.org/wiki/File:Huacaya_muni_locator_map.svg","M192028954","2026-05-15","uploaded"
"Incahuasi","Chuquisaca","Incahuasi","output/locator_maps/muni-maps-final/Incahuasi_muni_locator_map.svg",2837.4,"010703","Q1142260","Incahuasi","Incahuasi muni locator map.svg","https://commons.wikimedia.org/wiki/File:Incahuasi_muni_locator_map.svg","M192028970","2026-05-15","uploaded"
"Las Carreras","Chuquisaca","Las Carreras","output/locator_maps/muni-maps-final/Las_Carreras_muni_locator_map.svg",2837.4,"010903","Q1142273","Las Carreras","Las Carreras muni locator map.svg","https://commons.wikimedia.org/wiki/File:Las_Carreras_muni_locator_map.svg","M192028979","2026-05-15","uploaded"
"Macharetí","Chuquisaca","Macharetí","output/locator_maps/muni-maps-final/Machareti_muni_locator_map.svg",2837.4,"011003","Q1142267","Macharetí","Macharetí muni locator map.svg","https://commons.wikimedia.org/wiki/File:Macharetí_muni_locator_map.svg","M192028991","2026-05-15","uploaded"
"Villa Mojocoya","Chuquisaca","Villa Mojocoya","output/locator_maps/muni-maps-final/Villa_Mojocoya_muni_locator_map.svg",2837.4,"010303","Q1142257","Mojocoya","Villa Mojocoya muni locator map.svg","https://commons.wikimedia.org/wiki/File:Villa_Mojocoya_muni_locator_map.svg","M192028996","2026-05-15","uploaded"
"Monteagudo","Chuquisaca","Monteagudo","output/locator_maps/muni-maps-final/Monteagudo_muni_locator_map.svg",2837.4,"010501","Q914026","Monteagudo","Monteagudo muni locator map.svg","https://commons.wikimedia.org/wiki/File:Monteagudo_muni_locator_map.svg","M192029005","2026-05-15","uploaded"
"Padilla","Chuquisaca","Padilla","output/locator_maps/muni-maps-final/Padilla_muni_locator_map.svg",2837.4,"010401","Q1142006","Padilla","Padilla muni locator map.svg","https://commons.wikimedia.org/wiki/File:Padilla_muni_locator_map.svg","M192029011","2026-05-15","uploaded"
"Poroma","Chuquisaca","Poroma","output/locator_maps/muni-maps-final/Poroma_muni_locator_map.svg",2837.4,"010103","Q182203","Poroma","Poroma muni locator map.svg","https://commons.wikimedia.org/wiki/File:Poroma_muni_locator_map.svg","M192029020","2026-05-15","uploaded"
"Presto","Chuquisaca","Presto","output/locator_maps/muni-maps-final/Presto_muni_locator_map.svg",2837.4,"010302","Q1585103","Presto","Presto muni locator map.svg","https://commons.wikimedia.org/wiki/File:Presto_muni_locator_map.svg","M192029028","2026-05-15","uploaded"
"San Lucas","Chuquisaca","San Lucas","output/locator_maps/muni-maps-final/San_Lucas_muni_locator_map.svg",2837.4,"010702","Q783480","San Lucas","San Lucas muni locator map.svg","https://commons.wikimedia.org/wiki/File:San_Lucas_muni_locator_map.svg","M192029033","2026-05-15","uploaded"
"Sopachuy","Chuquisaca","Sopachuy","output/locator_maps/muni-maps-final/Sopachuy_muni_locator_map.svg",2837.4,"010403","Q1142253","Sopachui","Sopachuy muni locator map.svg","https://commons.wikimedia.org/wiki/File:Sopachuy_muni_locator_map.svg","M192029038","2026-05-15","uploaded"
"Sucre","Chuquisaca","Sucre","output/locator_maps/muni-maps-final/Sucre_muni_locator_map.svg",2837.4,"010101","Q1304750","Sucre","Sucre muni locator map.svg","https://commons.wikimedia.org/wiki/File:Sucre_muni_locator_map.svg","M192029042","2026-05-15","uploaded"
"Tarabuco","Chuquisaca","Tarabuco","output/locator_maps/muni-maps-final/Tarabuco_muni_locator_map.svg",2837.4,"010601","Q1860776","Tarabuco","Tarabuco muni locator map.svg","https://commons.wikimedia.org/wiki/File:Tarabuco_muni_locator_map.svg","M192029051","2026-05-15","uploaded"
"Tarvita","Chuquisaca","Tarvita","output/locator_maps/muni-maps-final/Tarvita_muni_locator_map.svg",2837.4,"010202","Q1142233","Tarvita","Tarvita muni locator map.svg","https://commons.wikimedia.org/wiki/File:Tarvita_muni_locator_map.svg","M192029058","2026-05-15","uploaded"
"Tomina","Chuquisaca","Tomina","output/locator_maps/muni-maps-final/Tomina_muni_locator_map.svg",2837.4,"010402","Q633697","Tomina","Tomina muni locator map.svg","https://commons.wikimedia.org/wiki/File:Tomina_muni_locator_map.svg","M192029063","2026-05-15","uploaded"
"Villa Abecia","Chuquisaca","Villa Abecia","output/locator_maps/muni-maps-final/Villa_Abecia_muni_locator_map.svg",2837.4,"010901","Q1142199","Villa Abecia","Villa Abecia muni locator map.svg","https://commons.wikimedia.org/wiki/File:Villa_Abecia_muni_locator_map.svg","M192029077","2026-05-15","uploaded"
