"municipality","department","file","size_kb"
"Baures","Beni","output/locator_maps/muni_maps/Baures_muni_locator_map.svg",2364.5
"Exaltación","Beni","output/locator_maps/muni_maps/Exaltacion_muni_locator_map.svg",2364.5
"Guayaramerín","Beni","output/locator_maps/muni_maps/Guayaramerin_muni_locator_map.svg",2364.5
"Huacaraje","Beni","output/locator_maps/muni_maps/Huacaraje_muni_locator_map.svg",2364.5
"Loreto","Beni","output/locator_maps/muni_maps/Loreto_muni_locator_map.svg",2364.5
"Magdalena","Beni","output/locator_maps/muni_maps/Magdalena_muni_locator_map.svg",2364.5
"Puerto Menor de Rurrenabaque","Beni","output/locator_maps/muni_maps/Puerto_Menor_de_Rurrenabaque_muni_locator_map.svg",2364.5
"Puerto Siles","Beni","output/locator_maps/muni_maps/Puerto_Siles_muni_locator_map.svg",2364.5
"Reyes","Beni","output/locator_maps/muni_maps/Reyes_muni_locator_map.svg",2364.5
"Riberalta","Beni","output/locator_maps/muni_maps/Riberalta_muni_locator_map.svg",2364.5
"San Andrés","Beni","output/locator_maps/muni_maps/San_Andres_muni_locator_map.svg",2364.5
"San Borja","Beni","output/locator_maps/muni_maps/San_Borja_muni_locator_map.svg",2364.5
"San Ignacio","Beni","output/locator_maps/muni_maps/San_Ignacio__Beni__muni_locator_map.svg",2364.5
"San Javier","Beni","output/locator_maps/muni_maps/San_Javier__Beni__muni_locator_map.svg",2364.5
"San Joaquín","Beni","output/locator_maps/muni_maps/San_Joaquin_muni_locator_map.svg",2364.5
"San Ramón","Beni","output/locator_maps/muni_maps/San_Ramon__Beni__muni_locator_map.svg",2364.5
"Santa Ana","Beni","output/locator_maps/muni_maps/Santa_Ana_muni_locator_map.svg",2364.5
"Santa Rosa","Beni","output/locator_maps/muni_maps/Santa_Rosa__Beni__muni_locator_map.svg",2364.5
"Trinidad","Beni","output/locator_maps/muni_maps/Trinidad_muni_locator_map.svg",2364.5
"Alcalá","Chuquisaca","output/locator_maps/muni_maps/Alcala_muni_locator_map.svg",2364.5
"Azurduy","Chuquisaca","output/locator_maps/muni_maps/Azurduy_muni_locator_map.svg",2364.5
