"province","department","file","size_kb"
"Cercado","Beni","output/locator_maps/prov-maps-hd/Cercado_(Beni)_prov_locator_map.svg",3802
"General José Ballivián","Beni","output/locator_maps/prov-maps-hd/General_Jose_Ballivian_prov_locator_map.svg",3807.1
"Iténez","Beni","output/locator_maps/prov-maps-hd/Itenez_prov_locator_map.svg",3806.1
"Mamoré","Beni","output/locator_maps/prov-maps-hd/Mamore_prov_locator_map.svg",3805.5
"Marbán","Beni","output/locator_maps/prov-maps-hd/Marban_prov_locator_map.svg",3803.3
"Moxos","Beni","output/locator_maps/prov-maps-hd/Moxos_prov_locator_map.svg",3805.8
"Vaca Diez","Beni","output/locator_maps/prov-maps-hd/Vaca_Diez_prov_locator_map.svg",3804.9
"Yacuma","Beni","output/locator_maps/prov-maps-hd/Yacuma_prov_locator_map.svg",3805.9
"Azurduy","Chuquisaca","output/locator_maps/prov-maps-hd/Azurduy_prov_locator_map.svg",3802
"Belisario Boeto","Chuquisaca","output/locator_maps/prov-maps-hd/Belisario_Boeto_prov_locator_map.svg",3801.2
"Hernando Siles","Chuquisaca","output/locator_maps/prov-maps-hd/Hernando_Siles_prov_locator_map.svg",3802.6
"Luis Calvo","Chuquisaca","output/locator_maps/prov-maps-hd/Luis_Calvo_prov_locator_map.svg",3803
"Nor Cinti","Chuquisaca","output/locator_maps/prov-maps-hd/Nor_Cinti_prov_locator_map.svg",3804.1
"Oropeza","Chuquisaca","output/locator_maps/prov-maps-hd/Oropeza_prov_locator_map.svg",3802.8
"Sur Cinti","Chuquisaca","output/locator_maps/prov-maps-hd/Sur_Cinti_prov_locator_map.svg",3804.5
"Tomina","Chuquisaca","output/locator_maps/prov-maps-hd/Tomina_prov_locator_map.svg",3802.5
"Yamparáez","Chuquisaca","output/locator_maps/prov-maps-hd/Yamparaez_prov_locator_map.svg",3801.3
"Zudáñez","Chuquisaca","output/locator_maps/prov-maps-hd/Zudanez_prov_locator_map.svg",3802.7
"Arani","Cochabamba","output/locator_maps/prov-maps-hd/Arani_prov_locator_map.svg",3800.3
"Arque","Cochabamba","output/locator_maps/prov-maps-hd/Arque_prov_locator_map.svg",3800.8
"Ayopaya","Cochabamba","output/locator_maps/prov-maps-hd/Ayopaya_prov_locator_map.svg",3803.6
"Bolivar","Cochabamba","output/locator_maps/prov-maps-hd/Bolivar_prov_locator_map.svg",3800.2
"Campero","Cochabamba","output/locator_maps/prov-maps-hd/Campero_prov_locator_map.svg",3803.2
"Capinota","Cochabamba","output/locator_maps/prov-maps-hd/Capinota_prov_locator_map.svg",3800.7
"Carrasco","Cochabamba","output/locator_maps/prov-maps-hd/Carrasco_prov_locator_map.svg",3809.2
"Cercado","Cochabamba","output/locator_maps/prov-maps-hd/Cercado_(Cochabamba)_prov_locator_map.svg",3800
"Chapare","Cochabamba","output/locator_maps/prov-maps-hd/Chapare_prov_locator_map.svg",3804.7
"Esteban Arze","Cochabamba","output/locator_maps/prov-maps-hd/Esteban_Arze_prov_locator_map.svg",3801.4
"Germán Jordán","Cochabamba","output/locator_maps/prov-maps-hd/German_Jordan_prov_locator_map.svg",3800.1
"Mizque","Cochabamba","output/locator_maps/prov-maps-hd/Mizque_prov_locator_map.svg",3801.7
"Punata","Cochabamba","output/locator_maps/prov-maps-hd/Punata_prov_locator_map.svg",3800.3
"Quillacollo","Cochabamba","output/locator_maps/prov-maps-hd/Quillacollo_prov_locator_map.svg",3801.5
"Tapacarí","Cochabamba","output/locator_maps/prov-maps-hd/Tapacari_prov_locator_map.svg",3801.2
"Tiraque","Cochabamba","output/locator_maps/prov-maps-hd/Tiraque_prov_locator_map.svg",3801.5
"Abel Iturralde","La Paz","output/locator_maps/prov-maps-hd/Abel_Iturralde_prov_locator_map.svg",3808.3
"Aroma","La Paz","output/locator_maps/prov-maps-hd/Aroma_prov_locator_map.svg",3802.5
"Bautista Saavedra","La Paz","output/locator_maps/prov-maps-hd/Bautista_Saavedra_prov_locator_map.svg",3801.4
"Camacho","La Paz","output/locator_maps/prov-maps-hd/Camacho_prov_locator_map.svg",3801.3
"Caranavi","La Paz","output/locator_maps/prov-maps-hd/Caranavi_prov_locator_map.svg",3801
"Franz Tamayo","La Paz","output/locator_maps/prov-maps-hd/Franz_Tamayo_prov_locator_map.svg",3804.9
"General José Manuel Pando","La Paz","output/locator_maps/prov-maps-hd/General_Jose_Manuel_Pando_prov_locator_map.svg",3800.6
"Gualberto Villarroel","La Paz","output/locator_maps/prov-maps-hd/Gualberto_Villarroel_prov_locator_map.svg",3800.9
"Ingavi","La Paz","output/locator_maps/prov-maps-hd/Ingavi_prov_locator_map.svg",3802.5
"Inquisivi","La Paz","output/locator_maps/prov-maps-hd/Inquisivi_prov_locator_map.svg",3802.8
"Larecaja","La Paz","output/locator_maps/prov-maps-hd/Larecaja_prov_locator_map.svg",3803
"Loayza","La Paz","output/locator_maps/prov-maps-hd/Loayza_prov_locator_map.svg",3802.1
"Los Andes","La Paz","output/locator_maps/prov-maps-hd/Los_Andes_prov_locator_map.svg",3801.7
"Manco Kapac","La Paz","output/locator_maps/prov-maps-hd/Manco_Kapac_prov_locator_map.svg",3801
"Murillo","La Paz","output/locator_maps/prov-maps-hd/Murillo_prov_locator_map.svg",3802.6
"Muñecas","La Paz","output/locator_maps/prov-maps-hd/Munecas_prov_locator_map.svg",3801
"Nor Yungas","La Paz","output/locator_maps/prov-maps-hd/Nor_Yungas_prov_locator_map.svg",3800.6
"Omasuyos","La Paz","output/locator_maps/prov-maps-hd/Omasuyos_prov_locator_map.svg",3801.6
"Pacajes","La Paz","output/locator_maps/prov-maps-hd/Pacajes_prov_locator_map.svg",3803.4
"Sud Yungas","La Paz","output/locator_maps/prov-maps-hd/Sud_Yungas_prov_locator_map.svg",3804.5
"Abaroa","Oruro","output/locator_maps/prov-maps-hd/Abaroa_prov_locator_map.svg",3803.5
"Carangas","Oruro","output/locator_maps/prov-maps-hd/Carangas_prov_locator_map.svg",3801.4
"Cercado","Oruro","output/locator_maps/prov-maps-hd/Cercado_(Oruro)_prov_locator_map.svg",3802.8
"Ladislao Cabrera","Oruro","output/locator_maps/prov-maps-hd/Ladislao_Cabrera_prov_locator_map.svg",3802.5
"Litoral","Oruro","output/locator_maps/prov-maps-hd/Litoral_prov_locator_map.svg",3800.5
"Mejillones","Oruro","output/locator_maps/prov-maps-hd/Mejillones_prov_locator_map.svg",3800.5
"Nor Carangas","Oruro","output/locator_maps/prov-maps-hd/Nor_Carangas_prov_locator_map.svg",3800.6
"Pantaleón Dalence","Oruro","output/locator_maps/prov-maps-hd/Pantaleon_Dalence_prov_locator_map.svg",3800.9
"Poopó","Oruro","output/locator_maps/prov-maps-hd/Poopo_prov_locator_map.svg",3800.8
"Sabaya","Oruro","output/locator_maps/prov-maps-hd/Sabaya_prov_locator_map.svg",3802.8
"Sajama","Oruro","output/locator_maps/prov-maps-hd/Sajama_prov_locator_map.svg",3802.4
"San Pedro de Totora","Oruro","output/locator_maps/prov-maps-hd/San_Pedro_de_Totora_prov_locator_map.svg",3800.7
"Saucarí","Oruro","output/locator_maps/prov-maps-hd/Saucari_prov_locator_map.svg",3801.1
"Sebastián Pagador","Oruro","output/locator_maps/prov-maps-hd/Sebastian_Pagador_prov_locator_map.svg",3800.9
"Sur Carangas","Oruro","output/locator_maps/prov-maps-hd/Sur_Carangas_prov_locator_map.svg",3801.1
"Tomás Barrón","Oruro","output/locator_maps/prov-maps-hd/Tomas_Barron_prov_locator_map.svg",3799.9
"Abuná","Pando","output/locator_maps/prov-maps-hd/Abuna_prov_locator_map.svg",3802.8
"Federico Román","Pando","output/locator_maps/prov-maps-hd/Federico_Roman_prov_locator_map.svg",3803.5
