"municipality","department","muni_anexo","file","size_kb"
"Baures","Beni","Baures","output/locator_maps/workbench_hd/Baures_muni_locator_map.svg",3601.9
"Exaltación","Beni","Exaltación","output/locator_maps/workbench_hd/Exaltacion_muni_locator_map.svg",3601.9
"Guayaramerín","Beni","Guayaramerín","output/locator_maps/workbench_hd/Guayaramerin_muni_locator_map.svg",3601.9
"Huacaraje","Beni","Huacaraje","output/locator_maps/workbench_hd/Huacaraje_muni_locator_map.svg",3601.9
"Loreto","Beni","Loreto","output/locator_maps/workbench_hd/Loreto_muni_locator_map.svg",3601.9
"Magdalena","Beni","Magdalena","output/locator_maps/workbench_hd/Magdalena_muni_locator_map.svg",3601.9
"Puerto Menor de Rurrenabaque","Beni","Rurrenabaque","output/locator_maps/workbench_hd/Rurrenabaque_muni_locator_map.svg",3601.9
"Puerto Siles","Beni","Puerto Siles","output/locator_maps/workbench_hd/Puerto_Siles_muni_locator_map.svg",3601.9
"Reyes","Beni","Reyes","output/locator_maps/workbench_hd/Reyes_muni_locator_map.svg",3601.9
"Riberalta","Beni","Riberalta","output/locator_maps/workbench_hd/Riberalta_muni_locator_map.svg",3601.9
"San Andrés","Beni","San Andrés","output/locator_maps/workbench_hd/San_Andres_muni_locator_map.svg",3601.9
"San Borja","Beni","San Borja","output/locator_maps/workbench_hd/San_Borja_muni_locator_map.svg",3601.9
"San Ignacio","Beni","San Ignacio de Moxos","output/locator_maps/workbench_hd/San_Ignacio_de_Moxos_muni_locator_map.svg",3601.9
"San Javier","Beni","San Javier","output/locator_maps/workbench_hd/San_Javier_(Beni)_muni_locator_map.svg",3601.9
"San Joaquín","Beni","San Joaquín","output/locator_maps/workbench_hd/San_Joaquin_muni_locator_map.svg",3601.9
"San Ramón","Beni","San Ramón","output/locator_maps/workbench_hd/San_Ramon_(Beni)_muni_locator_map.svg",3601.9
"Santa Ana","Beni","Santa Ana del Yacuma","output/locator_maps/workbench_hd/Santa_Ana_del_Yacuma_muni_locator_map.svg",3601.9
"Santa Rosa","Beni","Santa Rosa","output/locator_maps/workbench_hd/Santa_Rosa_muni_locator_map.svg",3601.9
"Trinidad","Beni","Trinidad","output/locator_maps/workbench_hd/Trinidad_muni_locator_map.svg",3601.9
"Alcalá","Chuquisaca","Villa Alcalá","output/locator_maps/workbench_hd/Villa_Alcala_muni_locator_map.svg",3601.9
"Azurduy","Chuquisaca","Azurduy","output/locator_maps/workbench_hd/Azurduy_muni_locator_map.svg",3601.9
"Camargo","Chuquisaca","Camargo","output/locator_maps/workbench_hd/Camargo_muni_locator_map.svg",3601.9
"Culpina","Chuquisaca","Culpina","output/locator_maps/workbench_hd/Culpina_muni_locator_map.svg",3601.9
"El Villar","Chuquisaca","El Villar","output/locator_maps/workbench_hd/El_Villar_muni_locator_map.svg",3601.9
"Huacareta","Chuquisaca","Huacareta","output/locator_maps/workbench_hd/Huacareta_muni_locator_map.svg",3601.9
"Huacaya","Chuquisaca","Huacaya","output/locator_maps/workbench_hd/Huacaya_muni_locator_map.svg",3601.9
"Incahuasi","Chuquisaca","Incahuasi","output/locator_maps/workbench_hd/Incahuasi_muni_locator_map.svg",3601.9
