"municipality","department","muni_anexo","file","size_kb"
"Trinidad","Beni","Trinidad","output/locator_maps/workbench_hd_2/Trinidad_muni_locator_map.svg",7515
"Sucre","Chuquisaca","Sucre","output/locator_maps/workbench_hd_2/Sucre_muni_locator_map.svg",7516.7
"Cochabamba","Cochabamba","Cochabamba","output/locator_maps/workbench_hd_2/Cochabamba_muni_locator_map.svg",7514.7
"Nuestra Señora de La Paz","La Paz","La Paz","output/locator_maps/workbench_hd_2/La_Paz_muni_locator_map.svg",7516.2
"Oruro","Oruro","Oruro","output/locator_maps/workbench_hd_2/Oruro_muni_locator_map.svg",7514.2
"Cobija","Pando","Cobija","output/locator_maps/workbench_hd_2/Cobija_muni_locator_map.svg",7514.6
"Potosí","Potosí","Potosí","output/locator_maps/workbench_hd_2/Potosi_muni_locator_map.svg",7515.9
"Llica","Potosí","Llica","output/locator_maps/workbench_hd_2/Llica_muni_locator_map.svg",7515.7
"Tahua","Potosí","Tahua","output/locator_maps/workbench_hd_2/Tahua_muni_locator_map.svg",7514.7
"Santa Cruz de la Sierra","Santa Cruz","Santa Cruz de la Sierra","output/locator_maps/workbench_hd_2/Santa_Cruz_de_la_Sierra_muni_locator_map.svg",7515.7
"Tarija","Tarija","Tarija","output/locator_maps/workbench_hd_2/Tarija_muni_locator_map.svg",7516.8
"Esmeralda","Oruro","Esmeralda","output/locator_maps/workbench_hd_2/Esmeralda_muni_locator_map.svg",7515.1
"Salinas de Garcí Mendoza","Oruro","Salinas de Garci Mendoza","output/locator_maps/workbench_hd_2/Salinas_de_Garci_Mendoza_muni_locator_map.svg",7517.1
"Sabaya","Oruro","Sabaya","output/locator_maps/workbench_hd_2/Sabaya_muni_locator_map.svg",7516.9
"Coipasa","Oruro","Coipasa","output/locator_maps/workbench_hd_2/Coipasa_muni_locator_map.svg",7515.3
"Chipaya","Oruro","Chipaya","output/locator_maps/workbench_hd_2/Chipaya_muni_locator_map.svg",7515
"Belén de Andamarca","Oruro","Belén de Andamarca","output/locator_maps/workbench_hd_2/Belen_de_Andamarca_muni_locator_map.svg",7515.2
